Index,Review,Manual Presence Label
61,"I love this place I go there all the time I really like it when someone stands out.if you do not drink this is the place to be at happy hour. and the first one was Christmas Eve a few years back what a nice group of kids.yesterday a pretty gal stood out she was nice and had a kind of pride about herself. She was a happy jumpy thing. lemme tell you something grandma she was definitely looking forward to kayaking with you.good job
My name is Susan Henry
You kids all stay celobet
Says celobet Sue",Rumor
62,Great fun. Good food.,Visited
63,Great friendly operation. Easy to work with.,Rumor
64,I recommend the bacon jam burger... Trust me the internet stranger,Rumor
65,"Super friendly staff, their espresso coffees are delicious and if the flavor is not what you expected when you got what you ordered they can make an adjustment to your order, to put a smile on your face. I ordered white chocolate mocha, and I have a sweet tooth, I am used to white chocolate tatse sweeter. So the staff asked if I like them to add another pump of white chocolate syrup to my Expresso. I said yes and it was yummy. I was pleased. !",Rumor
66,Food is so good,Visited
67,A dive bar,Rumor
68,Nice mall,Rumor
69,Costco is my happy place,Rumor
70,"Very good taste quality, I like the noodle/soup texture
Its very likely taste sweet and I love sweet taste!

The menu give you alot of you desire....

No cons just clean and sit eat done :)",Rumor
71,Good food and good beer.,Visited
72,Food is good great staff,Visited
73,Apparently they stopped selling on commission. Very helpful employees,Rumor
74,Mechanic almost always close by,Rumor
75,Very clean and friendly.,Rumor
76,Cheap place to buy booz,Rumor
77,"La Mex is a great location if you're close to the mall, Costco, or Value Village and are super hangry. Their lunch specials are the best bang for your buck. Two of us had a great lunch for under $26.00 an awesome deal if you live in Anchorage. Their lunch prices are hard to beat. They have nice spicy fajitas, decadent chile relleno, or cripsy chimichangas. You can add a tamale ala carte for a very reasonable price. Excellent sauces, salsa, and authentic flavors.",Rumor
78,They are professionals at making gear that takes on Alaska's harshest weather,Rumor
79,"They always go above and beyond to make sure your meal and experience are perfect. Great food, great drinks.",Visited
80,"If your looking for fake name brand products, go here.  If your looking to make a trip to another country, you'll find Walmart employees everyone that isn't an American.",Rumor
81,"Awesome, great service. Fun place for Japanese bbq",Visited
82,Waited 25 mins just to get fries,Rumor
83,Lady was super rude I left,Rumor
84,Alaskan owned and know what's what,Rumor
85,Perfect 👌,Rumor
86,O.G. one of my favorite brekfasts in town,Rumor
87,AMAZING PIZZA. Best I've ever had in my life ever.,Rumor
88,Extremely over crowded. To many inflatables in a small space. There is no seperation for tiny kids like my daughters age (2) from the bigger kids. It is almost painfully loud and overwhelming. I refuse to take my child back.,Rumor
89,Great tour,Rumor
90,"Great environment, service, and food. Can be busy and loud at times.",Visited
91,Beautiful Cathedral!,Rumor
92,"If you are a fan of wood-fired oven pizza and excellent fresh brewed beers, you do not want to miss this place! The pizza's are fantastic, with the usuals well covered and some very unique and delicious options you won't see anywhere else. The crust is wonderful, toppings seem fresh and flavorful. You can't go wrong with their beer choices - from IPA's to pilsners to stouts, and everything in between, they have options.",Rumor
93,Food was delish! Not too crazy about $15.99 for dinner but if your really hungry it's worth it.,Visited
94,Thank you for the good ice cream decent service,Visited
95,Beer was tasty,Rumor
96,Pretty,Rumor
97,"Really good food, service was fairly quick.  Plus a $5.00 loaf of fresh baked sourdough bread to go.

One of the best places to eat in Girdwood / Alyeska.",Visited
98,Good fast service,Visited
99,"Great beer, great food. A little on the expensive side, but worth it. Try the sweet potato fries!",Visited
100,"The Burger Kings in the Anchorage area are out dated, seemed unkept and gross. I like Burger King but not here. Also, they dont accept orders on the app, even more disappointing.",Rumor
101,Friendly staff. Very helpful. Not the best room; no view and near the ice machine. Only one washing machine so there was a queue. I would stay there again.,Rumor
102,Great stuff at good prices,Rumor
103,Beautiful field!,Rumor
104,"Helpful & friendly staff, clean & well-stocked shelves, fun place to cruise the aisles. Lumpia! Oh yes!",Rumor
105,Out of this world pizza. Service was fast you will wait for a table and dont forget a growler to go of their own brew of Apple Ale.,Visited
106,Fast service.,Visited
107,"Very good mix of Asian food. From pho,  sushi, traditional Chinese dishes. Everything I tried was delicious.They also have a coffee shack on the grounds. I ordered a chai tea that was delicious and the waitress ran out to the coffee shack and brought it over to the restaurant. The interior and bathroom is clean. However, they have split tennis balls open and put them on the bottom of all the chair legs. Looks crazy when you first walk in.",Visited
108,"It was an OK place to stop for a few days, but due to the size of the the camping, the lack of facilities or utilities I don't think it was any where near what they were asking.  The parks and recs that went through the area did nothing more than stay in the truck and talk to just  a few people that came up to the truck.",Rumor
109,Great staff and great coffee!,Rumor
110,Friendly staff,Rumor
111,"(Translated by Google) The zoo itself is a beautiful and cozy park.

(Original)
El zoologico en si es un hermoso y acogedor parque.",Rumor
112,Very helpful. Usually always have the parts needed. Willing to assist in diagnosing out at your vehicle with their differing instruments that do such. Nice selection also. Thank you for all your help in the past!,Rumor
113,Use to be better. Now they only have a bunch of off brand pet foods. Said they couldn't compete with grocery stores.,Visited
114,Great breakfast and super great service. Had breakfast this morning around 10:30 and those girls were on top of their game running the whole time from table to table making sure everyone had refills. Ate here twice while I was in town.,Visited
115,Great meat department.,Rumor
116,Great place to feed family friends without cleanup,Rumor
117,The pizza and salad are excellent.,Rumor
118,Good n quick,Rumor
119,Attended the Nutcracker and it was wonderful.  The symphony orchestra was superb and the Eugene Ballet was wonderful. Seating in the theater was very good.,Rumor
120,🥀📲😷,Rumor
121,Lots of retail stores,Rumor
122,This place is as authentic Japanese food as you will find in Anchorage. Delicious and fresh.,Visited
123,"Great select of gifts, very friendly service, no pressure and helpful.",Visited
124,"It's Krispy Kreme, the best donuts anywhere",Rumor
125,"Food was good, service was excellent, portions were large! Great kid friendly place!",Visited
126,Very helpful well-informed staff. Great place to buy a quality mattress! 👍,Rumor
127,"Zero frills. Retro vibes. Stunning setting. As long as your expectations are calibrated appropriately, it's a super cool spot.",Rumor
128,"Randy at Central has stellar customer service and will keep us coming back. He was patient, attentive, and thorough. Great communication and service. Thanks Randy!",Visited
129,Usually good service,Visited
130,They got drinks,Rumor
131,A breakfast hit! Served fairly quick. Great baristas.,Rumor
132,"BurgerFL is awesome, great fresh burgers.",Rumor
133,"Unbelievably bad coffee! And girls totally forgot to put flavors in any of our cups! Overall: overpriced, bitter coffee but girls were very polite and smiley.",Rumor
134,"I didn't order the suggested ""Sourdough Pancakes"", but my food came promptly, even with a corrected order.  I still prefer Hilltop (at least for my favorite items, Corn Beef Hash & Biscuits and Gravy)",Visited
135,Great selection of dart products with friendly & knowledgeable staff.,Rumor
136,"Technician came out on Monday because boiler had stopped working over the weekend - looked at boiler and noticed heat exchanger was leaking; told us that not worth fixing and likely warranty will cover some cost.  He did not seem to be very knowledgable and seemed to have trouble explaining why the boiler stopped working in the first place.   He was in the house for maybe 10-15 minutes total and we were billed for 1 hour labor which is reasonable.  The technician had to send pictures and contact the boiler manufacturer to obtain warranty coverage the next day - this was also charged a full hour of labor which I think is ridiculous!
We were contacted by an estimator to look at our boiler and provide an estimate for the new boiler.  He was punctual and professional and we had an estimate the next day.  The estimate only had a total price; no itemization to show the cost of the new boiler, labor costs, parts, etc.  Given that it had been nearly a week without hot water and they could get it done the same day we approved the cost.  The installer called me around 4:30 or 5 pm to let me know they were heading to the house.  By the time I was off work at 7 they were already gone and the boiler was up and running.  I was very happy that the work was done so quickly.  When the bill came in the mail (which I had to ask for) it was identical to the estimate.  Based on the warranty refund I was able to figure out the boiler cost of $2884, so the install cost was $5681 for two hours of work! When I asked the company for an itemized invoice they said that ""they don't do that.""
The boiler worked well for hot water but when we turned on the heat a week later, nothing.  Another service call to figure out what was wrong.  This technician was on time but also did not seem to be very knowledgable.  When looking at the boiler he asked me for my manual which I provided.  He ended up calling another person to help him figure out what was going on.  Turns out the temperature was set far too low by the installers.  An easy fix and since then the boiler has been working well.
Overall the work was done well and done fast.  The price was outrageous in my mind and the fact that they won't provide an itemized invoice helps confirm that there is no basis for the high prices.",Visited
137,My fuel saver card says use full amount one day and I get gas cans and other vehicle to use my 35 gallons and there would be only 20 cents on it????,Rumor
138,Great experience here. Rental car facility is attached. Security is fast.,Visited
139,Stayed in older tower.,Rumor
140,Charlie was exceptional in helping us choose the perfect trailer for our needs.,Rumor
141,Tasted worse than it looked,Rumor
142,"These people are awesome,  kind and friendly.",Rumor
143,Running water and electrical hook up included,Rumor
144,"This is mostly for guest services. Not sure why such a button exists on the phone when there is practically no such thing here. tl;dr It took 5 hours and 3 phone calls to make the smell in my room slightly less, and I almost lost a bag because of ""guest services."" Called guest services when we arrived (after 6pm) about my room reeking of cigarette smoke and that I took off my name tag on my transfer bag and that it could be a problem. Guy answering the phone didn't even ask me what my bag looked like but said he'd keep me updated. He also said the cigarette smell would be taken care of. Returned from dinner around 9. No bag, room still REEKS of smoke (seriously do the housekeepers not smell this???). Go down to where the travel coordinator is in guest services. She said she never heard anything from this guy in ""guest services."" Said it might have been a concierge. Said my bag was SENT BACK to storage because they didn't know whose it was! Luckily she was able to catch the driver or I would be wearing dirty, smelly clothes today. Call about the smell in room, same dude. Says he'll send someone. I stay up until 1130 waiting for someone to show - nothing. Call one last time (the smell is so bad I would have a hard time sleeping), finally get a woman who sends someone immediately. If you're going to stay here, don't rely on guest services for anything.",Visited
145,"Snow mobile tour was great, saw 8 moose, rode real trails and got to play on the lake. So much better than the joke of a ride at Chena hot springs. Rodney was a great guide as well. Highly recommend.",Rumor
146,"I took my car in, they told me it would take 3 or 4 days. Ended up taking 11 days, and the correspondence was terrible. I called back to cancel a portion of the service before it went through, left a message via a person, not an answering machine, and they still went through with it. Will have to go to local mechanics from now on, til I move..",Visited
147,Spenard Roadhouse is our go to spot. The food is great and so are the drinks. Anyone who has dietary restrictions or preferences can easily find something great to it. There is a real chill vibe and the service is always good!,Visited
148,Helpful staff,Rumor
149,It's McDonald's enough said,Rumor
150,Breathtaking!,Rumor
151,"We had some custom cakes made for a celebration at work, and they did an amazing job! We worked with Bill, and he was absolutely patient, kind, and creative!  Of course, the cakes were delicious! Couldn't be happier with our experience with Cake Studio.",Visited
152,"We had the worst waiter ever, would only allow us to have 1 beer at a time, so he waited until my bottle of beer was COMPLETELY empty (every drop) until he went to the bar to order another single beer. Then he’d come back to tell me that my beer has been ordered, then go back to wait for the beer, then he’d bring the single bottle of beer to me. This always took 10 minutes. Constant waiting for a beer and even water was ridiculous. He said that there’s cameras everywhere and they’re watching everyone’s every move...food was good tho, but with a jackass server like that, I won’t be back...",Visited
153,A great place for a huge Italian style meal.,Rumor
154,Alaska finest. The cater to Meadow Lakes Teachers and we live them,Rumor
155,"How it's done in Alaska, love it.",Rumor
156,"It's really cool being able to get in the hot springs in the winter. The ice hotel was cool and the grounds looked amazing. That being said, the locker room and showers were too small to handle the large crowds of tourists. Plus, they looked dirty. Make sure to bring a quarter to use the lockers.",Rumor
157,"I haven't gotten around to going inside yet, but they spend a lot of time and money on the external grounds.",Rumor
158,Convenient location. Elegant entrance.,Rumor
159,very good clean & serves were courteous food GREAT,Visited
160,I absolutely love lush,Rumor
161,Took 10mins to get menus another 5 for iced tea. 3 waitresses standing behind the bar talking. After another 15mins without anyone coming to take our order we went to the hostest station and paid. We are a mixed race couple and feel this could've been a factor.,Rumor
162,Great selection and help from knowledgeable staff.,Rumor
163,Good store.,Rumor
164,Amazing. Love the staff and doc. This is the place to take your kids. Skip the e.r. !,Rumor
165,Very family oriented,Rumor
166,The pizza there is FANTASTIC.  Unfortunately it took well over an hour to get here. When we called asking if they had even gotten the order the person answering the phone didn't seem to know what they were doing at all. I love the pizza but the customer service needs improvement. We paid A LOT of money for the pizza. The wait and the customer service almost wasn't worth it. I would say three and a half stars on taste alone.,Visited
167,Had an excellent experience! Great assistance and quality Service. Received valuable information regarding my purchase.,Visited
168,The oldest bar in Juneau. It has sawdust on the floor and a pint will run you about 8 USD with a tip. You can also order food. There are two levels and live music. It gets very crowded when the cruise ships are in town but well worth the effort.,Visited
169,Tastey,Rumor
170,All around pretty solid place.  Food is always pretty good and haven't had bad service.,Visited
171,"Definitely felt like I lived there for a decade and was a regular customer, even after only 2 visits. Their coffee is fantastic too!",Rumor
172,"Always lively and kind even when crazy busy. Good lighting, clean with a good selection and helpful.",Rumor
173,"Great dentist with warm, friendly supporting staff",Rumor
174,Good food and good people. Check it out.,Visited
175,"Food was average, fish was dry.. but atmosphere was off the chain...  Beautiful walk along the creek... Small falls at the end.. We enjoyed it.",Visited
176,I spend way to much time here. I love it.,Rumor
177,"Amazing burger, service is ok. The decoration is so beautiful!",Visited
178,Really great camping spot! One of my favorite places we have stayed at - lots to see and do and it’s very relaxing.,Rumor
179,"Manager was rude! We tried to enter self checkout and she told us we had more than 40 items... we had 32. Her facial expressions and tone were completely unnecessary. Prices are ok so we'll be back, but next time, she can count the items. Other employees were super polite and friendly.",Rumor
180,"Great beer and a great experience every time I've been here. Fun crowd, friendly staff. Plenty of space, cool upstairs area. Good for locals and tourists alike.",Visited
181,"Good food for a fair price! Big portions, too.",Visited
182,"Great drinks, great staff",Rumor
183,Friendly sevice!! Will go back. N.,Rumor
184,"good pizza for good prices! BUT!!!! Every single time we order they always forget something....Every single time! I have not complained to them as i am not a complainer but after so many times figured i write a review. BEST choice is to pick up your pizza, delivery guys are to dumb to read orders. (how ever the other 2 stores i have never have a problem with)",Rumor
185,I love this Dominoes. The reason for the 3 stars is because the last 4 times or so ordering I have waited very patiently for over an hour almost 2 hours each time. Today I waited over an hour after it said my order was done to be delivered. The staff always seems courtious and Mario always makes our food amazing the wait is ridiculous here recently.,Visited
186,"Great atmosphere during sporting events, lots of places to sit and enjoy the game, my only critic would be parking can be difficult and the food was fine but nothing amazing.",Visited
187,I was only there for 4 minutes and I was treated poorly wouldn't recommend it,Rumor
188,Excellent and prompt service,Visited
189,"Great service, will be doing business with them in the future",Visited
190,"Food was good. Took a while to get our food though. Place was packed on a Saturday afternoon, so the wait time for food was ok.",Visited
191,"Great coffee, wonderful staff! Always a good experience.",Visited
192,"Great coffee, very peaceful, beautiful view from the second floor",Rumor
193,Best tacos in Alaska.,Rumor
194,"Helpful staff, excellent service!!",Visited
195,"Great wash, needs improvement on tire wash",Rumor
196,Delicious breakfast,Rumor
197,A place with a perfect name. Cash only.,Rumor
198,Best fish tacos,Rumor
199,Great service along with amazing food. Would love to go back soon,Visited
200,I have never really liked Carrs. But that's my own opinion. They usually have good deals though.,Rumor
201,"Great place to take family outing on top of Hatcher Pass, AK",Rumor
202,Only place I can find LED headlights without conversion kits.,Rumor
203,Great lumber,Rumor
204,Perfect bar AND restaurant,Rumor
205,WoW.......good in alaskan....here in Soldotna...or any place else on the planet!,Rumor
206,Good prices always busy though,Rumor
207,always on time and the pizza is AWESOME thank you guys,Rumor
208,Great hamburgers . Been around  forever so you know it a great place to eat .,Rumor
209,"Haven't been let down with anything I've ordered, great barbecue. Try it and enjoy.",Rumor
210,"Excellent products and service for Outdoorsy, Hunting or Sport Shooting.",Visited
211,Richard was awesome! I got my new ride and he made the entire experience of buying a car easy and was very helpful! Went above and beyond to provide great customer service!!!,Visited
212,good friendly service.,Visited
213,A great place for a nice dinner as well as a reviving brunch and mimosas for those mornings that we are all too familiar with. The bar area has great sweeping views of the cook inlet and service is pretty quick.,Visited
214,The food is always top notch. The bathroom is too.,Visited
215,"Food was slow.  Slow night even. So, them being busy is out.
Other people in my party were completed with their dinner prior to mine making it out.  The calzone I ordered was made with frozen meat,  big clue, THE MEAT HAD NO FLAVOR.
A couple of us ordered an salad as an appetizer.  They brought it as a side to the main dish.
I suggest staying away until they have it figured out,  at this rate 2019 sounds about correct.",Visited
216,"Very impressed with surroundings, service, and excellent Sweet & Sour Chicken with LoMein.",Visited
217,"Very good food, friendly staff",Visited
218,Tucked in and tidy😁,Rumor
219,Wanted toast bread not burnt bread ☹ other than that service was great!,Visited
220,Excellent chef and food. Wonderful local NYE.,Visited
221,Love their wings! My go to is the classic,Rumor
222,This is crazy...how do you rate and ocean?,Rumor
223,Hit or miss with the employees if they speak English or acknoweldge you. Rarely do they know where something is located. Go to Lowe's not much better but the don't ignore you as much lol.,Rumor
224,"I called 4 days in a row trying to make a reservation, no one ever answered the phone or responded to any of the messages I left with their answering service.",Visited
225,Hit or miss depending on the rice that day. Fish is always fresh,Rumor
226,"Left after 15 minutes unattended. Got a menu, no drink order....",Rumor
227,This hike is at least two hours (one way) but its beautiful. Has a creek next to it with little waterfalls. Half of the hike is a pretty flat trail and the second half is rocky.,Rumor
228,Very nice park,Rumor
229,Karaoke was alot of fun!,Rumor
230,One of my favorite stores in all of Alaska. Every visit to Juneau calls for a visit however brief it may be to Kindred Post. They have the very best greeting cards and post cards. Plus they make it so easy to mail just about anything. The staff here are always so welcoming and warm. The very best of Juneau!!,Rumor
231,Love the nachos!,Rumor
232,Great food,Visited
233,Usually runs out of the food you look for on a regular basis. And they like to inflate their prices during pay periods. Then drop them between pay periods.,Visited
234,Great service,Visited
235,"Just because some is dressed a certain way, does not mean that treating a piece of gum stuck to your shoe is acceptable. I have a full time job, I don't drink.  The  Gentleman was so very rude to us.  Idk know how I stayed to order anything.  I know another establishment in Anchorage I will ever frequent again
Only gave it 2 stars because of the food.  It Was very good to bad service ruined the experience for my boyfriend and I",Visited
236,Food was delish! Not too crazy about $15.99 for dinner but if your really hungry it's worth it.,Visited
237,Staff  are friendly and  helpful  also lots of different things to look at.,Rumor
238,"Enjoyed our meals, ribeye was tough like it was a choice cut maybe? We Still enjoyed our experience. wife really liked the halibut",Visited
239,"Best Cold Brew in Wasilla! Also, fantastic staff and great prices! They are very accommodating and make excellent coffee drinks! The baristas are great at helping you find the perfect coffee drink!",Rumor
240,Love the sauce,Rumor
241,"I love this bar, I had a great time and would recommend it to anyone going to Seward.",Rumor
242,"Great people, just a happy place",Rumor
243,"I received the ordered part quickly. Unfortunately the part was not what I needed to fix my  truck but the person who was fixing it had already taken the new part apart, so I couldn't return it.",Rumor
244,"Perfect neighborhood bake shop.  Always awesome food, & very good drip coffee. Thank you.",Visited
245,the cafeteria feel is stark but the rest is good,Rumor
246,Washer and dryers are great here they dry my clothes!,Rumor
247,"Comfort room, good design.we love it!",Rumor
248,"Solid example of the local chain. Friendly service, though they don't open until 5:30a, which can be a problem for early commuters.

No complaints!",Visited
249,"Great atmosphere, great food, sort of expensive, what great place isn't expensive in Alaska though?",Visited
250,Lots of hard to find spices and teas.,Rumor
251,Nice place for an expo or concert.,Rumor
252,Had a Beef & Cheddar 1/2 pounder,Rumor
253,Grab a machine and play,Rumor
254,#bangin,Rumor
255,"Visited the Ice Hotel as seen on the travel Chanel. What an experience! Literally everything is made from ice. Yes, don't worry you are given a warm parka to wear. Spent an hour going through the hotel rooms and watching ice being sculpted into various furniture. Don't be shy grab that special ice drink on your way out!",Visited
256,I wanted breakfast but missed it by 5 min because of the line 😫 had some leftover burritos to sell me though....hence 3 stars...,Rumor
257,"The store is convenient, neat, fairly well stocked and overpriced. They buy their products from Costco, for the most part and resell them on an average of a 10% markup from the Costco retail price. Additionally,  it's nice to have a nearby source for guns and ammo. As with any convenience store, you pay dearly for that convenience.",Rumor
258,"My daughter hired Alaska Premier Real Estate to sell her house, because she was involved in a divorce, and the court ordered her to sell fast and to get an aggressive agent. Meanwhile, my daughter moved due to job opportunities elsewhere. Consequently, I then took over as Power of Attorney for her in the house sale. Jance Lobaugh was wonderful to deal with throughout the sale. I had problems requesting renters to move and she directed me to the right laws governing rental agreements. She aggressively showed the house and handled everything including sending me documents to sign on my phone while I was on vacation. Ms. Lobaugh and her staff had to deal with a number of difficult legal situations and it was always professionally done. I would hire this company in a minute if I was selling my home. The firm is friendly but professional. Ms. Lobuagh and her staff responded immediately to all my questions and supportively walked me through the house's closing. In addition, she dealt with both my daughter's lawyers and her ex-husband's attorney as well. Thank you. Colette Grower",Rumor
259,They got good prices on batteries,Rumor
260,No,Rumor
261,Great place,Rumor
262,Food was good.,Visited
263,Typical laundromat.,Rumor
264,Great car wash and will get the job done.,Rumor
265,Fulfills my fast food cravings.,Visited
266,Superb location for parties weddings and other get-togethers. Amazing food,Visited
267,Nice but expensive.,Rumor
268,SO. MUCH. GOOD. SHTUFF to eat... Great pho with many goodies and the rolls are quite good. Worth a stop if you're around Dimond and Seward Hwy. Staff was very nice and friendly; restroom very clean!,Rumor
269,Got something tasty to go,Rumor
270,HUGE store!  Way bigger than the ones in Anchorage .,Rumor
271,"As usual, the food was excellent! I did an order to go, and I think from the time I called to the time I got the food, it took about 25 minutes. Even if you place the order over the phone, you can expect to wait a few minutes in line when you get there to pay. The place is super busy all of the time, but even with that, they do an incredible job of maintaining quality of the food and quality of service. I don't mind waiting a couple of extra minutes, because for as busy as it is, it's not that much extra time - and it is always worth it!",Visited
272,They need to close the market until COVID is over. Not enough vendors to be open anyways.,Rumor
273,"Is is smaller than the Botanical Garden in my hometown of Fort Worth, but what is here packs a punch. There is so much to learn about and explore. My sister saw an ermine here that came so close she could pet it. A staff member gave me directions to a patch of wild orchids growing behind the gardens. Events like Music in the Garden show that this place is a vibrant and valuable part of the community--it is so poplular that there  is someone there you are  bound to know if you live here. Plus, the reindeer farm is right next door so that is cool. Thus, there are many surprises here that you may not find in larger botanical gardens in bigger cities. So I recommend stopping by.",Rumor
274,"Good price for see
Seniors on a low budget.",Rumor
275,"This place was ok, the coffee was pretty burnt so I likely won’t go back.",Rumor
276,Great customer service!!,Visited
277,"Good food with a lot of options, Turkish coffee, beer, gyros and kebab. We'll be coming back.",Visited
278,Friendly staff and food was amazing.,Visited
279,Pretty view. Good trails,Rumor
280,"Fun equipment, clean. Worth the splurge every now and again.",Rumor
281,The pho is fresh and delicious. The only place in town I bother to get pho from. It's my pho place when I'm sick and need to feel better.,Rumor
282,Great donuts,Rumor
283,"Overpriced, inconsistent, extremely long wait times, rude over worked staff, annoying loud children all over the place.",Rumor
284,Super helpful I had just got a brand new windsheild from them and not even a week later a truck kicjed up a rock at me and put a good hole in my windsheild I took it to safelite again and they gave me a really good discount to fill the hole so it doesn't spider.,Rumor
285,Very good burritos. The first place I think of when I need a breakfast burrito.,Rumor
286,Excellent savings - especially when you have a sale on items. Pls come to the valley.,Rumor
287,The food is good and they keep it will stocked. Could be cleaner and it is really dated. Go for the food not the atmosphere.,Visited
288,"We got a spot right on the Klutina, owner was friendly and appreciated our business. Showers were clean and laundry on site.",Rumor
289,Torrid continues to impress me as an outstanding store for ample women.,Rumor
290,penang curry was awesome,Rumor
291,We shop here all the time good meat options,Rumor
292,"Store is kept neat and orderly, staff is very friendly and helpful.",Rumor
293,Neat place Chili and cornbread is great,Rumor
294,They are great they sold me a new phone. And transferred all the information. Super helpful and friendly,Rumor
295,"We went here for one of our first date nights out in Anchorage and we went on their ""Neon Bowling"" night. It was so much fun! The staff is super knowledgeable and helpful. They also engage bowlers in fun activities. They serve drinks,  have an open bar,  pool tables and other games in the smoking area out back. This was definitely an affordable and fun date. They also have a family friendly section that is outside the bar area that kiddos are allowed to enjoy with their friends and family. We loved this place!",Rumor
296,Great food and service. Fun atmosphere.,Visited
297,It needs some work and stores to look through,Rumor
298,These folks are disorganized every time I go. I'm usually sorry I even bothered. Only go there at my mother's request to pick up her pizza.,Rumor
299,Cheaper place to buy smokes. Staff are Great. Always check id even though ive been there almost a 100 times. Great selection of what you need or want. Clean store,Rumor
