Index,Review,Label,Manual Advert Label
36,I like the new remodel and the people were nice.,Legitimate,Legitimate
37,Meet up with friends.,Insufficient Context,Legitimate
38,Literally the best oriental restaurant I've ever been to in my life id recommend this joint to any foodie around! 100/100,Advertisement,Advertisement
39,Love there pizza,Advertisement,Advertisement
40,Best breakfast in town so far and we have been to all the local hotspots. Well worth the time!,Advertisement,Advertisement
41,I like this tire shop and appointments are nice no waiting ! Thank you Lyle.,Legitimate,Legitimate
42,"I like the shop, i like the variety. And the customer service was great as well.",Advertisement,Legitimate
43,Dude i love tacosss,Advertisement,Advertisement
44,Very helpful and knowledgeable.  Lots of options and display models.  Highly recommend!,Advertisement,Legitimate
45,"I have never been so impressed with an automotive service company as I was with these people. Not only did they provide exactly what they said they would, they followed it up with a phone, and email to let me know what was going on, and that they were other issues that needed to be addressed and they prioritized what should be done first. They were great and absolutely great to talk with, I will be visiting them again.",Advertisement,Legitimate
46,Bomb every time! Get the million dollar mac and cheese!! Don't forgrt the Mobile Bytes app to collect points for every visit!!,Legitimate,Legitimate
47,always great service and delicious drinks and food,Advertisement,Legitimate
48,"Decent food, decent prices",Insufficient Context,Legitimate
49,They have a couple of meal deals that are a good bargain for your buck right now.,Legitimate,Legitimate
50,"They have wonderful, hardworking staff that do their utmost to take care of your pet.",Legitimate,Legitimate
51,We went to Latte Dah every morning of our trip to Valdez. Excellent shop!,Legitimate,Advertisement
52,Great advice for cleaning my cream colored leather jacket! Thanks guys for the help!,Advertisement,Legitimate
53,They have Chick O' sticks. ❤️,Legitimate,Legitimate
54,"excellent customer service, we weren't rushed when school shopping..thx, to Jacinta G.",Legitimate,Advertisement
55,Friendliest people around and locally owned. Best cuts of meat for a cheaper price than anywhere else,Advertisement,Advertisement
56,Good food!,Insufficient Context,Legitimate
57,Fun time,Insufficient Context,Legitimate
58,"Was the only place in town to stop before heading out commerical salmon fishing ...gear, grundens and. All the good stuff !",Legitimate,Legitimate
59,Great food!,Advertisement,Legitimate
60,Friendly service.,Insufficient Context,Legitimate
61,Y everything close? No fun,Legitimate,Legitimate
62,Great place to go!!! They wind you around museum chronologically. Make sure you have a lot of time cause you're gonna want to see everything!!!,Advertisement,Legitimate
63,"Kept having to repeat myself about order. Fish & Shrimp platter, side of red beans and rice, and whatever for second side. 4 piece spicy chicken with side of coleslaw. Hade read back for confirmation, but when I got home, only had popcorn shrimp; no fish. I never take back food for further mistakes. Will go on base from now on!",Legitimate,Legitimate
64,"Really nice staff, otherwise an as to be expected representative of the chain.",Legitimate,Legitimate
65,Love this local bar!... Where you truly meet and mingle with the heart of Seward. Great open mic and karoke! Winter or summer come have a drink and tip your awesome bartender.,Advertisement,Advertisement
66,"(Translated by Google) Wonderful experience in the midst of whales and orcas! Alaska magical! Super recommended for everyone!

(Original)
Esperienza meravigliosa in mezzo alle balene e alle orche! Alaska magica! Super consigliato a tutti!",Legitimate,Legitimate
67,"""Great food, fast and polite service..best calamari poor boy in town.""",Advertisement,Advertisement
68,Everything was fine,Insufficient Context,Legitimate
69,"For starters, it’s good to know that not everybody has had a bad experience with OPA. Dr. Kornmesser and Dr. Taylor were extremely understanding and helpful in making progress in my case.  Unfortunately that is where the fine care ends.

I have been trying to get treatment for my cervical and lumbar spine since May with OPA.  Overall this has been a 2 year ordeal for me. I have seen 4 separate providers in 5 appointments with OPA, with a 5 week break without any treatment due to an administrative faux pas.  A cervical MRI that was taken in February wasn’t looked at by a Doctor until late July.  That was Dr. Taylor.  I was finally seen by PA Glen, in September.  This was an appointment that I had waited months for.  PA Glen ordered a MRI of my lumbar, although he thought that it was nothing more than a back strain. The MRI was taken and I was given an appointment at 3:30 pm on
Friday October 13th, with PA Glen.  I arrived at my appointment at about 2:40.  If your not early, you’re late..  Although I understand that it was busy earlier, the waiting room had very few people.  Those that were already there were brought back to their appointments and arriving patients did not wait long to be seen.  At 4pm, there were just a couple of new arrivals and myself in the waiting room.  I went to check out.  The intake clerk wasn’t aware that the spinal clinic was running behind.  She called back to check on their status and nobody was there to answer the phone. That leaves me to strongly suspect that the spinal clinic closed down and went home.  I signed out and left.

I received a call at at 9:30 am on Monday October 16, from a young lady with great apologies.  The spine clinic was just so busy!  I was informed that there were a lot of people that need to be seen.  I understood, because I am one of them!  I was told that PA Glen couldn’t see me until Friday and that he was the only person that can read my MRI.  I informed her that was unacceptable and requested to be seen by either Dr. Eule or Dr. Taylor.  I was told that neither are here, and the only provider is PA Glen.  That to me is unacceptable.

From the information that I’ve been given, it appears that PA Glen is running the spine clinic all by himself, and he only take appointments on Tuesdays and Fridays.  So far my experience has been like a game of kick the can, or in this case kick the patient.  I need to be treated and OPA has given me no choice but to seek treatment from another provider.  Based on my experience, I would tell anybody that would listen to stay clear of OPA.  The patient only equals billing hours!",Advertisement,Legitimate
70,"Ambiance is great.  The place is a wooden establishment and has a scent of firewood, which I loved! The place cooks some of their food over a wood fire, which is SO AWESOME! My boyfriend and I loved watching the different foods cook.

Anyway, we were so full from our breakfast that we wanted to just get drinks so that's what we did.  We had the oatmeal stout, raspberry wheat, mai tai, peach mojito, summer sangria, and sweet tea all were soooo delicious! Also, saw on the menu that on Tuesday's you can fill a growler for $5, such an awesome deal!

Service was great with Jennifer at the bar seating.",Advertisement,Advertisement
71,Great place. Personnal take great care of the pets. Variety of foods for age range of pets.,Advertisement,Legitimate
72,The food doesn’t taste that great. Maybe my expectation was too high when I looked at all the photos here,Advertisement,Legitimate
73,My favorite vet. Love their employees and doctors also. Just great welcome when you go there.,Advertisement,Advertisement
74,"(Translated by Google) Well

(Original)
Bjeno",Legitimate,Legitimate
75,"They had my brand new, spotlessly clean car waiting for me. Most of what they did at the counter could have been done with an app, but they were friendly and efficient. There was no sales pressure, just made sure I had what I needed.",Legitimate,Legitimate
76,Helpful staff. Most everything you'd need. They can also order most anything and get it within a few days.,Legitimate,Legitimate
77,"Great beer and decent Brussels sprouts; server had an attitude, she wasn't ugly just unpleasant!",Advertisement,Legitimate
78,I love taco bell for fast food at a great price.,Advertisement,Advertisement
79,"Very busy, my food wasn't worth the price but the artichoke dip was good.",Legitimate,Legitimate
80,"Great people great service. Highly recommended!

Vince and Angela.",Advertisement,Legitimate
81,Spectacular Views!,Insufficient Context,Legitimate
82,Easy order and pickup groceries,Legitimate,Legitimate
83,Quick stop for junk food!!!,Legitimate,Legitimate
84,Free vacuum!,Insufficient Context,Legitimate
85,"Fine selection of various ethnic cooking ingredients as well as products from country of origin.
In Alaska, Che sorpresa trovare una lattina di Medaglia D'oro Caffe' Espresso!",Legitimate,Legitimate
86,"No frills, free, and they accept: cardboard, paper, newspaper, glass, bottles, aluminum products, tin/steel products, and plastics. Glad to have this place to not contribute all that to the landfill.",Legitimate,Legitimate
87,Very good customer service and the food was great.  I intend to go back again and I'd definitely suggest my friends to go there !,Advertisement,Legitimate
88,This is the best place for an MRI. They give you a lavender sleep mask to use and take home. They will play whatever music you like and as loud as you like with your headphones and give you some medication to help you relax!,Advertisement,Advertisement
89,Always helpful.,Insufficient Context,Legitimate
90,This place is awesome and cheap too,Advertisement,Legitimate
91,ordered beef teriyaki and the rice was soak with teriyaki sauce. Also Food portion is small and expensive. would never go back even if I live twice. Sigh....,Legitimate,Legitimate
92,Always fun times at Tudor bingo,Legitimate,Legitimate
93,Excellent customer service,Insufficient Context,Advertisement
94,The staff is usually helpful and can almost always answer any questions I have. When they do not know something they will point you in the right direction.,Legitimate,Legitimate
95,"It was pretty good,and the price wad cool.",Legitimate,Legitimate
96,Amazing pancakes!!! Enough said,Advertisement,Advertisement
97,Ronnie Sushi is always great!,Advertisement,Legitimate
98,The creek runs along residences,Legitimate,Legitimate
99,"IF they had crumpets, there would be five stars. Only english muffins. Gross.",Legitimate,Legitimate
100,I won't shop at any of the Anchorage Walmarts unfortunately due to the lack of security and carelessness of the employees. Too much crime in the area. Eagle River Walmart is much better!,Legitimate,Legitimate
101,Me and my husband needed to decompress and the tub and sauna was the greatest thing to do. We loved it.!,Advertisement,Advertisement
102,One of the best airport restaurants I've experienced.,Advertisement,Advertisement
103,"Awesome setting upstairs for a graduation party for a close friend.  The buffet was hot, plentiful and delicious.",Advertisement,Legitimate
104,A lot of big boy toys,Legitimate,Legitimate
105,The Santa Claus is awesome! He'll pose for pictures & even make special videos to send! I love going to the Santa Claus House just for him!,Advertisement,Advertisement
106,Great friendly staff that does a great job adhering to the social distancing and friendly atmosphere!!!,Advertisement,Legitimate
107,I love food from herected I have ordered multiple  times &  it is consistent  and very good,Advertisement,Advertisement
108,Quick and very hospitable! Good food at good prices!,Legitimate,Legitimate
109,Good strip mall. Panda Express food horrible.,Legitimate,Legitimate
110,"Good ice cream, but expensive for the amount you get. Weren't very friendly either",Legitimate,Legitimate
111,Kinda pretentious and overpriced but the food is still pretty good and the view isn't bad,Legitimate,Legitimate
112,"Tori, the GM, and her crew are awesome. True professionals! Customer service like this is hard to find anymore. The best sandwich shop in Alaska! If you have never been there, you are really missing out.",Advertisement,Advertisement
113,Clean fast,Insufficient Context,Legitimate
114,"I'm pretty sure this place is a homer icon, but frozen burger patties is not ever the way to go. I'll give them one more chance for the ice cream.",Legitimate,Legitimate
115,"Older hotel but well maintained and updated. Beds were a bit firm but still comfortable. Individual thermostat in each room, so you can set the temp for what's comfortable for you. Actual 5-cup coffee pot in room. Bring your own coffee and small round filters and you're set! Bring a mask as masks are required!",Legitimate,Legitimate
116,Great home town eatery. Customer service is awesome. Food is really good. If you are looking for catfish this is the place.,Advertisement,Legitimate
117,Good value for the money.,Legitimate,Legitimate
118,"Ok food, tastes like taco bell, but they have not once gotten my order right. This time it's one quesadilla instead of the two that I ordered (and payed for). And last time it was 5 drinks when I asked for 2.",Legitimate,Legitimate
119,"The only good thing to say about this place is the location.  Between Anchorage and Fairbanks, it's In the right place to stop, however, they take advantage of this....",Legitimate,Legitimate
120,It's aight,Insufficient Context,Legitimate
121,"My regular place to shop is their local based competitor. However, they have comparable prices and items. Do you co- habitate with a house rabbit, Guinea pig, or hamster? They have a good selection of supplies, food and treats.

I was impressed with their cat litter packaging alternative. I have not tried it yet, but I believe in reducing my households carbon  footprint. I have found one brand that works for my needs and the needs of my cat and if this measures up might switch.
You buy the cat litter in a container on Your first purchase. After that you bring the container back and refill it!!!! Great idea for the environment and your pocket book.

Now if they open a location closer to a bus stop that would encourage me to visit them more. Knowledgeable staff and good products😉",Advertisement,Legitimate
122,"Love the prices, variety, quality & employees are great!",Advertisement,Advertisement
123,I love this place no matter what time of year it is!  When it's off season you have tobwalk in from the gate and walk in which is cool too because you get to see parky squirrels and marmots along the road.  In the summertime it's cool to explore and take pictures in the old mine carts and walk through the little house.  It's crazy to think that this was once a bustling town and now it's one of the most peaceful places on Earth.,Advertisement,Advertisement
124,Its the bomb,Insufficient Context,Legitimate
125,Very old hotel but well maintained.,Legitimate,Legitimate
126,No one even care that we were there.,Legitimate,Legitimate
127,"We had a party of 12 and they were very accommodating, our server was very friendly and made sure we didn't need for anything. The medallion steak Alfredo was awesome, so was the rest of the food. But of course had to get more bread sticks to take home",Advertisement,Legitimate
128,Great food and fast service. Professional employees,Advertisement,Legitimate
129,"I love 3 Bears, but the produce is always overpriced and it goes bad very fast.",Advertisement,Advertisement
130,Good,Insufficient Context,Legitimate
131,I feel a bit awkward reviewing a church but if it helps people find Jesus than here it goes. We tend to be “church hoppers” we like visiting different styles and denominations of church to show our daughter the many different forms of Christian worship. This church is very modern and contemporary with a casual feel. The praise team is PHENOMENAL! They have complementary donuts and coffee and also additional treats and drinks for purchase at the cafe. Excellent children’s church as well. The only reason I’m giving 4 stars instead of 5 is because the sermons can sometimes feel a bit phony or forced. I’ve spoken with a few other people who also feel that one of the pastors tries to make himself cry and it feels forced and a bit awkward. But I still have enjoyed many sermons here. This is a come as you are church that welcomes everyone. Pick up a friend and check it out.,Legitimate,Advertisement
132,Great place for hiking.,Advertisement,Legitimate
133,Great customer service and knowledge of what your looking for. Thank you Mike for your help and will be returning to your store,Advertisement,Legitimate
134,"Fast,Friendly and Delicious and very Fresh.",Legitimate,Legitimate
135,Better than the local home depot. Has a wide variety on each Isle and honors military servicemen discounts. Same great service as the lower 48.,Advertisement,Legitimate
136,Good gym.. friendly.,Insufficient Context,Legitimate
137,A nice store in the heart of Fairview,Legitimate,Legitimate
138,It's my go to place for just about anything.,Legitimate,Legitimate
139,The staff is amazing and won't hesitate to find your size or a similar product to what you are looking for.,Advertisement,Advertisement
140,Ian freakng rocks.,Insufficient Context,Legitimate
141,Great addition to Wasilla,Advertisement,Legitimate
142,Always friendly and helpful,Insufficient Context,Legitimate
143,Very friendly staff and nice atmosphere.,Legitimate,Legitimate
144,It’s the first gas station after returning from Dalton Highway. Our car almost ran out of gas. It saved us.,Legitimate,Legitimate
145,Good service,Insufficient Context,Legitimate
146,Service was fast and efficient,Legitimate,Legitimate
147,"Used to be a very nice place to grab some good Mexican cuisine, but Taco Bell is definitely better. Local Taco King in Anchorage have great Mexican cuisine.",Advertisement,Legitimate
148,Great view point!!,Advertisement,Legitimate
149,Beautiful place to walk around and enjoy the great weather and fresh air,Advertisement,Legitimate
150,"Good on price, service, distancing, easy in and out.",Legitimate,Legitimate
151,"Noisy, busy, fun...",Insufficient Context,Legitimate
152,"Tasty, interesting drinks!!",Insufficient Context,Legitimate
153,Beautiful,Insufficient Context,Legitimate
154,"Great coffee, juices, avocado melt, and environment.",Advertisement,Legitimate
155,Good food and people,Insufficient Context,Legitimate
156,It's rather small and a lot of items are old. The prices are really good though and sometimes you can find small treasure for cheap.,Legitimate,Legitimate
157,Great authentic food and super friendly staff. And the have the best spetzi I've had since lived in Germany!,Advertisement,Advertisement
158,Great food,Advertisement,Legitimate
159,Quik in and out.,Insufficient Context,Legitimate
160,Awesomeness,Advertisement,Legitimate
161,"Love the Burger Zone...
They make outstanding Burgers...
Also a Veggie Burger for those who don't like meat.
Keep up the awesome work...",Advertisement,Advertisement
162,Get your granola on at this store. It's beautiful inside and they have so much to offer.,Legitimate,Legitimate
163,Seats are fairly comfortable. Popcorn is pretty good.  Price is a bit higher than I like.,Legitimate,Legitimate
164,Delicious waffles!,Insufficient Context,Legitimate
165,Cheep pizza with minimal social interaction? Yes please!,Legitimate,Legitimate
166,Beautiful area,Insufficient Context,Legitimate
167,Family 👪 👨‍👧‍👧 came in,Legitimate,Legitimate
168,Found what I was looking for!,Legitimate,Legitimate
169,Nice quick service,Insufficient Context,Legitimate
170,Must see place in Kenai. Don't pass it up.,Legitimate,Legitimate
171,Good food,Insufficient Context,Legitimate
172,Great place to spend an hour and see some animals.,Advertisement,Legitimate
173,I've been a customer of theirs since 1989. They accepted delivery a Chevy Blazer that I purchased through the military sales overseas. No one else would. I've been with them ever since and have received outstanding service.,Legitimate,Legitimate
174,Didn't have any sour chewy sweetarts.,Legitimate,Legitimate
175,"Wonderful place for kids Birthday Parties $225 for 35 guest and all day admittance, plus The Party room for 2 hours!",Legitimate,Legitimate
176,Good parking,Insufficient Context,Legitimate
177,Great food! Great staff!,Advertisement,Legitimate
178,"Very fine establishment. The food was amazing (I feel like I say this a lot in reviews but I guess I just pick good places), the staff were friendly, and the location was clean. Three things I value in a good restaurant, they were all present.",Advertisement,Advertisement
179,Best prices,Advertisement,Advertisement
180,Very interesting things in this store. The people were very helpful.,Legitimate,Legitimate
181,"My kid had a ton of fun.  Relatively inexpensive play time for 20 bucks for an hour and he brought a few friends.  It was pretty clean and all the games worked, which most arcade type places seem to not.  Its been a long time since i last went, but they added a pause feature so you wouldnt waste the hour time limit when you needed to eat or take a break.",Legitimate,Legitimate
182,Clean place. Nice service. Smoothies are great. Not sure about coffee yet,Advertisement,Legitimate
183,The Carr's in the Northway Mall has bad Fruit Products and meat Products,Legitimate,Legitimate
184,"Very lack luster. I had ordered the new pub burger but when I got the burger I felt like they didn't put much effort at making the burger don't get me wrong very tasty burger but the quality of the burger just fell short for me the bun was really greasy, the burger looked a little undercooked,there was sauce but not a whole lot and the onion rings was crunchy but almost every bite just felt like i was eating onion rings and meat plus grease",Legitimate,Legitimate
185,"Excellent food, super friendly staff.",Legitimate,Advertisement
186,It was wonderful very helpful. I really like this one and keep coming back. Because of the service i receive,Legitimate,Legitimate
187,"Extremely friendly people working here that are always willing to help and teach you wherever you're wanting educated on the subject. Anything from relaxing, pain, sleeping, energy; they're great at helping you find what you want and what is could be best for you. Definitely enjoy our trips over to see!",Advertisement,Advertisement
188,"Liked the selection of.rolling supplies and got a grinder that I'm in love with! They do seem a bit over priced on alot of their stuff, but other than that I liked my visit.",Advertisement,Advertisement
189,"Service is spotty.  Obviously, it is expensive, but you could cook it yourself if you wanted to.  KFC gravy is amazing.",Advertisement,Advertisement
190,Decent food. Great atmosphere,Advertisement,Legitimate
191,"Service staff has no clue on what they are talking about, but they can read what the techs write down (theyre not bad), Sales guys (would never buy from them, but I definitely service my Ford here). GM is a real cool guy whos not trying to make a dollar, he does want your business.",Legitimate,Legitimate
192,"It's like eating at cafeteria with more choices, but you pay more",Legitimate,Legitimate
193,Love the store but some of their managment needs to be let go because of poor attitudes towards the customers!,Advertisement,Advertisement
194,Great place to shop and hang with friends at McDonald's.,Advertisement,Legitimate
195,"Delicious food, always packed in season",Legitimate,Legitimate
196,It's ok not in great shape anymore,Advertisement,Legitimate
197,"The Trans-Alaska Pipeline Viewpoint. I got a look at one of the world's engineering marvels.

You'll find info displays on the pipeline and an example of a pig, a device used to clean and inspect the inside of the pipeline.

It took 70,000 workers and $8 billion of investment capital to build the famous 4 foot silver thread that snakes its way through 800 miles of Alaskan wilderness to reach the nation's thirsty refineries, crossing mountain ranges, earthquake zones, permafrost, and rivers. Around 675 km of the pipeline is elevated (with 554 animal crossings), and outside Fairbanks is the place to see it. Every hour, more than a million dollars of black gold flows through it.",Legitimate,Legitimate
198,Hands down the best bar in the Valley! Great live music on the weekends and karaoke on some weeknights. I always enjoy dancing out here and the drinks are cheap.,Advertisement,Advertisement
199,Okay,Insufficient Context,Legitimate
200,Love the campground!,Advertisement,Advertisement
201,Italiano,Insufficient Context,Legitimate
202,We got a great car here!,Advertisement,Legitimate
203,Can't being able to get a drink at a movie theater.,Legitimate,Legitimate
204,good place to go to get your lightbulbs switched quickly,Legitimate,Legitimate
205,Food was great and bingo was a blast,Advertisement,Legitimate
206,"Real people, salt of the earth.",Legitimate,Legitimate
207,"Great service great coffee friendly staff this place stays busy but they're on top of it . Comfort breakfast's , healthy breakfast , you name it😎👍!",Advertisement,Legitimate
208,A hidden gem!,Insufficient Context,Legitimate
209,The live music was really good. Went on a Monday night and it was very slow. Good service though.,Legitimate,Legitimate
210,Staff was not the most engaged but helpful at check out selection was good.,Legitimate,Legitimate
211,They use to be a good place for car service .  Now laziness got to it,Legitimate,Legitimate
212,"Best Restaurant in Fairbanks in and out.
Our favorite place!",Advertisement,Advertisement
213,professional and helpful in getting  My waxings in my threading done.,Legitimate,Legitimate
214,It was clean,Insufficient Context,Legitimate
215,"Always fresh, always delicious. Service is always fast and the restaurant is always  clean. Great place",Advertisement,Legitimate
216,Spam app on Facebook,Insufficient Context,Legitimate
217,"Nice spot for breakfast, seems to by a favorite of the locals",Legitimate,Legitimate
218,Nice,Insufficient Context,Legitimate
219,Nice zoo,Insufficient Context,Legitimate
220,"Global pandemic, does not allow take out. Glad you have no social consciousness.",Legitimate,Legitimate
221,Excellent burgers.,Insufficient Context,Advertisement
222,The people that work there are really nice. All I have to do is walk up there and they know me and they know what kind of coffee I already like. 😊😊,Legitimate,Legitimate
223,Nice view!,Insufficient Context,Legitimate
224,Good pizza...fun environment...,Insufficient Context,Legitimate
225,Best pizza in town.,Advertisement,Advertisement
226,Good,Insufficient Context,Legitimate
227,Never again. Overpriced.,Insufficient Context,Legitimate
228,Really friendly staff and great carne asada! We will be back 😊,Advertisement,Legitimate
229,"Chain clothing store. Nothing bad about it, the staff is usually pretty good and it's pretty clean.",Legitimate,Legitimate
230,Have had great knowledgeable service every time we come in. They saved my but when I needed a new car battery and installed for me in-20’s F. We go back to get batteries for my Streamlite flash light.,Advertisement,Legitimate
231,Excellent place! I love sandwiches and am completely addicted to this place! Great job+,Advertisement,Advertisement
232,Friendly and helpful staff. What more do you need?,Legitimate,Legitimate
233,Ice cream machine is always broken.,Legitimate,Legitimate
234,Great haircut at a great price,Advertisement,Legitimate
235,Expensive.,Insufficient Context,Legitimate
236,"I've been here a couple times. I always have to wait at least 25 to see someone. Understaffed but good customer service. I recommend the verizon store on the north end of anchorage, faster service.",Legitimate,Legitimate
237,Have to see it to believe it,Legitimate,Legitimate
238,good foood,Insufficient Context,Legitimate
239,I have a friend who uses some of their CBD products for pain relief. I was impressed at how friendly and knowledgeable they are. They have in store discounts on buds which change weekly.,Legitimate,Legitimate
240,I love Taco King. The food is great and authentic and the staff is amazing.,Advertisement,Advertisement
241,Super quick and I love that they always have the tire buckets out :),Advertisement,Advertisement
242,Friendly atmosphere.,Insufficient Context,Legitimate
243,Nice food and good service,Legitimate,Legitimate
244,The staff and service I get there is always on point and respectful.,Legitimate,Legitimate
245,Very helpful and friendly pharmacy and general staff.,Legitimate,Legitimate
246,Nice park. Bike trail runs right through it. I would avoid at night.,Legitimate,Legitimate
247,"Cute place for coffee or a snack, over priced limited menu, don't go if you need a meal.",Legitimate,Legitimate
248,The fire...,Insufficient Context,Legitimate
249,To friendly just. Wanted to shop but they kept bugging me,Legitimate,Legitimate
250,Great food! Fast service!,Advertisement,Legitimate
251,What more can you say but beautiful views.,Legitimate,Legitimate
252,Food was cold when we got it and tasted mediocre.,Legitimate,Legitimate
253,O'Malley on the Green was awesome for lunch! Food was great and we dined on the patio!,Advertisement,Legitimate
254,"the only drawback to the moose's tooth is the number of customers that you encounter on every given night... but that goes to show how good this place really is. it is almost a must for visiting outsiders. and how the staff manages to stay friendly and cheerful with the crowds that they deal with is beyond me but much appreciated. it's just nice to have a local place that puts out world class pizza and beer, and you can be proud to take people to.",Legitimate,Legitimate
255,Smallest best buy in the world.,Advertisement,Advertisement
256,Owner is awesome and lanes are legit. They have leagues and a good bar with decent food. Would recommend for a good time bowling.,Advertisement,Legitimate
257,"I went to the store on Christmas Eve because my phone screen had broken. I understand that they wanted to get out of there etc however the lady that helped me was very obviously in too much of a rush. No, I didn't go right when they were going to close or even within an hour before. All she had to do was turn a new phone on for me. She actually said ""can you just do the Google part yourself when you leave? I don't feel like messing with it"". Well, to make sure that my contacts etc went thru and that everything worked right, you kind of have to do it when you buy the phone if you use Google/gmail, which I do. I know she was probably tired from christmas shopping etc but at the same time, I could have gone elsewhere to buy a phone. I could have gone and just gotten one of those ones from Wal-Mart. I chose to go thru this company, I waited at least 30 mins, I was also in a hurry and had tons of things to do yet the difference is, I wasn't rushing her or making her feel as tho she were bothering me. Bad move in a small store, in Wasilla, Alaska. Just so not cool! Good company, good prices on many things but this time I had very lame customer service.",Legitimate,Legitimate
258,Pipers has been my favorite pub and sports lounge for 30 years!!!,Legitimate,Legitimate
259,"Great place to rent a vehicle for an Alaskan adventure.  Place was supper busy as you would expect this time of year, yet Andre managed to make us feel as if we were the priority customer. This place is better than renting from the airport as it is more accessible, free parking, they wil pick you up if needed. Even received a follow up email ensuring everything was satisfactory a day after I picked up the vehicle.  Thank you team, you made the trip with the grandkids enjoyable.  We'll be back I'm sure.",Advertisement,Legitimate
260,basic walmart,Insufficient Context,Legitimate
261,Customer service was good,Insufficient Context,Legitimate
262,"A great ride on the train, up the mountain and back. The new turn-around at the top in Canada is nice. Great views and history along the way",Advertisement,Legitimate
263,"I want to love this place cause it looks like a classic burger joint, but the burgers are bland. It is hard to like something with no flavor. I ate a cheeseburger and a Buffalo Jalapeño Burger both where bland so if you like a brand Burger give this place a try.",Advertisement,Advertisement
264,Best Pozole hands down,Advertisement,Advertisement
265,Love the remodeling they have done very nice,Advertisement,Advertisement
266,"This place is okay.  It's got some mileage on it and it shows in a lot of places.  Most of the machines are quarter munchers with little entertainment for grownups or teenagers.  For little kids?  It's a blast.  My kids love it as long as I have enough money for tokens.  The upstairs seems to have better games but there are still plenty of old ones that will take your token without giving a play.

They also don't serve alcohol here anymore.  Patrons can sometimes be a little sketchy.  Parking lot often doesn't feel safe.  Visits during peak hours should be the best times to visit.",Advertisement,Advertisement
267,"Always a super fun time.  While folks who are used to big city aquariums might find it small, it has enough educational value to be worth the price of admission.",Legitimate,Legitimate
268,Great place to eat in Seward! They were very timely and the food came out piping hot. Demonte was especially helpful and courteous. This place also has great tartar sauce!,Advertisement,Legitimate
269,Took my grandkids sledding and was great to see the joy in thier eyes.  Lots of fun. Will do it again soon.,Advertisement,Legitimate
270,"So nice, fun and professional.  Zip lining was awseome.",Legitimate,Legitimate
271,Beautiful forest area!,Insufficient Context,Legitimate
