,0
54,"excellent customer service, we weren't rushed when school shopping..thx, to Jacinta G."
55,Friendliest people around and locally owned. Best cuts of meat for a cheaper price than anywhere else
56,Good food!
57,Fun time
58,"Was the only place in town to stop before heading out commerical salmon fishing ...gear, grundens and. All the good stuff !"
59,Great food!
60,Friendly service.
61,Y everything close? No fun
62,Great place to go!!! They wind you around museum chronologically. Make sure you have a lot of time cause you're gonna want to see everything!!!
63,"Kept having to repeat myself about order. Fish & Shrimp platter, side of red beans and rice, and whatever for second side. 4 piece spicy chicken with side of coleslaw. Hade read back for confirmation, but when I got home, only had popcorn shrimp; no fish. I never take back food for further mistakes. Will go on base from now on!"
64,"Really nice staff, otherwise an as to be expected representative of the chain."
65,Love this local bar!... Where you truly meet and mingle with the heart of Seward. Great open mic and karoke! Winter or summer come have a drink and tip your awesome bartender.
66,"(Translated by Google) Wonderful experience in the midst of whales and orcas! Alaska magical! Super recommended for everyone!

(Original)
Esperienza meravigliosa in mezzo alle balene e alle orche! Alaska magica! Super consigliato a tutti!"
67,"""Great food, fast and polite service..best calamari poor boy in town."""
68,Everything was fine
69,"For starters, it’s good to know that not everybody has had a bad experience with OPA. Dr. Kornmesser and Dr. Taylor were extremely understanding and helpful in making progress in my case.  Unfortunately that is where the fine care ends.

I have been trying to get treatment for my cervical and lumbar spine since May with OPA.  Overall this has been a 2 year ordeal for me. I have seen 4 separate providers in 5 appointments with OPA, with a 5 week break without any treatment due to an administrative faux pas.  A cervical MRI that was taken in February wasn’t looked at by a Doctor until late July.  That was Dr. Taylor.  I was finally seen by PA Glen, in September.  This was an appointment that I had waited months for.  PA Glen ordered a MRI of my lumbar, although he thought that it was nothing more than a back strain. The MRI was taken and I was given an appointment at 3:30 pm on
Friday October 13th, with PA Glen.  I arrived at my appointment at about 2:40.  If your not early, you’re late..  Although I understand that it was busy earlier, the waiting room had very few people.  Those that were already there were brought back to their appointments and arriving patients did not wait long to be seen.  At 4pm, there were just a couple of new arrivals and myself in the waiting room.  I went to check out.  The intake clerk wasn’t aware that the spinal clinic was running behind.  She called back to check on their status and nobody was there to answer the phone. That leaves me to strongly suspect that the spinal clinic closed down and went home.  I signed out and left.

I received a call at at 9:30 am on Monday October 16, from a young lady with great apologies.  The spine clinic was just so busy!  I was informed that there were a lot of people that need to be seen.  I understood, because I am one of them!  I was told that PA Glen couldn’t see me until Friday and that he was the only person that can read my MRI.  I informed her that was unacceptable and requested to be seen by either Dr. Eule or Dr. Taylor.  I was told that neither are here, and the only provider is PA Glen.  That to me is unacceptable.

From the information that I’ve been given, it appears that PA Glen is running the spine clinic all by himself, and he only take appointments on Tuesdays and Fridays.  So far my experience has been like a game of kick the can, or in this case kick the patient.  I need to be treated and OPA has given me no choice but to seek treatment from another provider.  Based on my experience, I would tell anybody that would listen to stay clear of OPA.  The patient only equals billing hours!"
70,"Ambiance is great.  The place is a wooden establishment and has a scent of firewood, which I loved! The place cooks some of their food over a wood fire, which is SO AWESOME! My boyfriend and I loved watching the different foods cook.

Anyway, we were so full from our breakfast that we wanted to just get drinks so that's what we did.  We had the oatmeal stout, raspberry wheat, mai tai, peach mojito, summer sangria, and sweet tea all were soooo delicious! Also, saw on the menu that on Tuesday's you can fill a growler for $5, such an awesome deal!

Service was great with Jennifer at the bar seating."
71,Great place. Personnal take great care of the pets. Variety of foods for age range of pets.
72,The food doesn’t taste that great. Maybe my expectation was too high when I looked at all the photos here
73,My favorite vet. Love their employees and doctors also. Just great welcome when you go there.
74,"(Translated by Google) Well

(Original)
Bjeno"
75,"They had my brand new, spotlessly clean car waiting for me. Most of what they did at the counter could have been done with an app, but they were friendly and efficient. There was no sales pressure, just made sure I had what I needed."
76,Helpful staff. Most everything you'd need. They can also order most anything and get it within a few days.
77,"Great beer and decent Brussels sprouts; server had an attitude, she wasn't ugly just unpleasant!"
78,I love taco bell for fast food at a great price.
79,"Very busy, my food wasn't worth the price but the artichoke dip was good."
80,"Great people great service. Highly recommended!

Vince and Angela."
81,Spectacular Views!
82,Easy order and pickup groceries
83,Quick stop for junk food!!!
84,Free vacuum!
85,"Fine selection of various ethnic cooking ingredients as well as products from country of origin.
In Alaska, Che sorpresa trovare una lattina di Medaglia D'oro Caffe' Espresso!"
86,"No frills, free, and they accept: cardboard, paper, newspaper, glass, bottles, aluminum products, tin/steel products, and plastics. Glad to have this place to not contribute all that to the landfill."
87,Very good customer service and the food was great.  I intend to go back again and I'd definitely suggest my friends to go there !
88,This is the best place for an MRI. They give you a lavender sleep mask to use and take home. They will play whatever music you like and as loud as you like with your headphones and give you some medication to help you relax!
89,Always helpful.
90,This place is awesome and cheap too
91,ordered beef teriyaki and the rice was soak with teriyaki sauce. Also Food portion is small and expensive. would never go back even if I live twice. Sigh....
92,Always fun times at Tudor bingo
93,Excellent customer service
94,The staff is usually helpful and can almost always answer any questions I have. When they do not know something they will point you in the right direction.
95,"It was pretty good,and the price wad cool."
96,Amazing pancakes!!! Enough said
97,Ronnie Sushi is always great!
98,The creek runs along residences
99,"IF they had crumpets, there would be five stars. Only english muffins. Gross."
100,I won't shop at any of the Anchorage Walmarts unfortunately due to the lack of security and carelessness of the employees. Too much crime in the area. Eagle River Walmart is much better!
101,Me and my husband needed to decompress and the tub and sauna was the greatest thing to do. We loved it.!
102,One of the best airport restaurants I've experienced.
103,"Awesome setting upstairs for a graduation party for a close friend.  The buffet was hot, plentiful and delicious."
104,A lot of big boy toys
105,The Santa Claus is awesome! He'll pose for pictures & even make special videos to send! I love going to the Santa Claus House just for him!
106,Great friendly staff that does a great job adhering to the social distancing and friendly atmosphere!!!
107,I love food from herected I have ordered multiple  times &  it is consistent  and very good
108,Quick and very hospitable! Good food at good prices!
109,Good strip mall. Panda Express food horrible.
110,"Good ice cream, but expensive for the amount you get. Weren't very friendly either"
111,Kinda pretentious and overpriced but the food is still pretty good and the view isn't bad
112,"Tori, the GM, and her crew are awesome. True professionals! Customer service like this is hard to find anymore. The best sandwich shop in Alaska! If you have never been there, you are really missing out."
113,Clean fast
114,"I'm pretty sure this place is a homer icon, but frozen burger patties is not ever the way to go. I'll give them one more chance for the ice cream."
115,"Older hotel but well maintained and updated. Beds were a bit firm but still comfortable. Individual thermostat in each room, so you can set the temp for what's comfortable for you. Actual 5-cup coffee pot in room. Bring your own coffee and small round filters and you're set! Bring a mask as masks are required!"
116,Great home town eatery. Customer service is awesome. Food is really good. If you are looking for catfish this is the place.
117,Good value for the money.
118,"Ok food, tastes like taco bell, but they have not once gotten my order right. This time it's one quesadilla instead of the two that I ordered (and payed for). And last time it was 5 drinks when I asked for 2."
119,"The only good thing to say about this place is the location.  Between Anchorage and Fairbanks, it's In the right place to stop, however, they take advantage of this...."
120,It's aight
121,"My regular place to shop is their local based competitor. However, they have comparable prices and items. Do you co- habitate with a house rabbit, Guinea pig, or hamster? They have a good selection of supplies, food and treats.

I was impressed with their cat litter packaging alternative. I have not tried it yet, but I believe in reducing my households carbon  footprint. I have found one brand that works for my needs and the needs of my cat and if this measures up might switch.
You buy the cat litter in a container on Your first purchase. After that you bring the container back and refill it!!!! Great idea for the environment and your pocket book.

Now if they open a location closer to a bus stop that would encourage me to visit them more. Knowledgeable staff and good products😉"
122,"Love the prices, variety, quality & employees are great!"
123,I love this place no matter what time of year it is!  When it's off season you have tobwalk in from the gate and walk in which is cool too because you get to see parky squirrels and marmots along the road.  In the summertime it's cool to explore and take pictures in the old mine carts and walk through the little house.  It's crazy to think that this was once a bustling town and now it's one of the most peaceful places on Earth.
124,Its the bomb
125,Very old hotel but well maintained.
126,No one even care that we were there.
127,"We had a party of 12 and they were very accommodating, our server was very friendly and made sure we didn't need for anything. The medallion steak Alfredo was awesome, so was the rest of the food. But of course had to get more bread sticks to take home"
128,Great food and fast service. Professional employees
129,"I love 3 Bears, but the produce is always overpriced and it goes bad very fast."
130,Good
131,I feel a bit awkward reviewing a church but if it helps people find Jesus than here it goes. We tend to be “church hoppers” we like visiting different styles and denominations of church to show our daughter the many different forms of Christian worship. This church is very modern and contemporary with a casual feel. The praise team is PHENOMENAL! They have complementary donuts and coffee and also additional treats and drinks for purchase at the cafe. Excellent children’s church as well. The only reason I’m giving 4 stars instead of 5 is because the sermons can sometimes feel a bit phony or forced. I’ve spoken with a few other people who also feel that one of the pastors tries to make himself cry and it feels forced and a bit awkward. But I still have enjoyed many sermons here. This is a come as you are church that welcomes everyone. Pick up a friend and check it out.
132,Great place for hiking.
133,Great customer service and knowledge of what your looking for. Thank you Mike for your help and will be returning to your store
134,"Fast,Friendly and Delicious and very Fresh."
135,Better than the local home depot. Has a wide variety on each Isle and honors military servicemen discounts. Same great service as the lower 48.
136,Good gym.. friendly.
137,A nice store in the heart of Fairview
138,It's my go to place for just about anything.
139,The staff is amazing and won't hesitate to find your size or a similar product to what you are looking for.
140,Ian freakng rocks.
141,Great addition to Wasilla
142,Always friendly and helpful
143,Very friendly staff and nice atmosphere.
144,It’s the first gas station after returning from Dalton Highway. Our car almost ran out of gas. It saved us.
145,Good service
146,Service was fast and efficient
147,"Used to be a very nice place to grab some good Mexican cuisine, but Taco Bell is definitely better. Local Taco King in Anchorage have great Mexican cuisine."
148,Great view point!!
149,Beautiful place to walk around and enjoy the great weather and fresh air
150,"Good on price, service, distancing, easy in and out."
151,"Noisy, busy, fun..."
152,"Tasty, interesting drinks!!"
153,Beautiful
154,"Great coffee, juices, avocado melt, and environment."
155,Good food and people
156,It's rather small and a lot of items are old. The prices are really good though and sometimes you can find small treasure for cheap.
157,Great authentic food and super friendly staff. And the have the best spetzi I've had since lived in Germany!
158,Great food
159,Quik in and out.
160,Awesomeness
161,"Love the Burger Zone...
They make outstanding Burgers...
Also a Veggie Burger for those who don't like meat.
Keep up the awesome work..."
162,Get your granola on at this store. It's beautiful inside and they have so much to offer.
163,Seats are fairly comfortable. Popcorn is pretty good.  Price is a bit higher than I like.
164,Delicious waffles!
165,Cheep pizza with minimal social interaction? Yes please!
166,Beautiful area
167,Family 👪 👨‍👧‍👧 came in
168,Found what I was looking for!
169,Nice quick service
170,Must see place in Kenai. Don't pass it up.
171,Good food
172,Great place to spend an hour and see some animals.
173,I've been a customer of theirs since 1989. They accepted delivery a Chevy Blazer that I purchased through the military sales overseas. No one else would. I've been with them ever since and have received outstanding service.
174,Didn't have any sour chewy sweetarts.
175,"Wonderful place for kids Birthday Parties $225 for 35 guest and all day admittance, plus The Party room for 2 hours!"
176,Good parking
177,Great food! Great staff!
178,"Very fine establishment. The food was amazing (I feel like I say this a lot in reviews but I guess I just pick good places), the staff were friendly, and the location was clean. Three things I value in a good restaurant, they were all present."
179,Best prices
180,Very interesting things in this store. The people were very helpful.
181,"My kid had a ton of fun.  Relatively inexpensive play time for 20 bucks for an hour and he brought a few friends.  It was pretty clean and all the games worked, which most arcade type places seem to not.  Its been a long time since i last went, but they added a pause feature so you wouldnt waste the hour time limit when you needed to eat or take a break."
182,Clean place. Nice service. Smoothies are great. Not sure about coffee yet
183,The Carr's in the Northway Mall has bad Fruit Products and meat Products
184,"Very lack luster. I had ordered the new pub burger but when I got the burger I felt like they didn't put much effort at making the burger don't get me wrong very tasty burger but the quality of the burger just fell short for me the bun was really greasy, the burger looked a little undercooked,there was sauce but not a whole lot and the onion rings was crunchy but almost every bite just felt like i was eating onion rings and meat plus grease"
185,"Excellent food, super friendly staff."
186,It was wonderful very helpful. I really like this one and keep coming back. Because of the service i receive
187,"Extremely friendly people working here that are always willing to help and teach you wherever you're wanting educated on the subject. Anything from relaxing, pain, sleeping, energy; they're great at helping you find what you want and what is could be best for you. Definitely enjoy our trips over to see!"
188,"Liked the selection of.rolling supplies and got a grinder that I'm in love with! They do seem a bit over priced on alot of their stuff, but other than that I liked my visit."
189,"Service is spotty.  Obviously, it is expensive, but you could cook it yourself if you wanted to.  KFC gravy is amazing."
190,Decent food. Great atmosphere
191,"Service staff has no clue on what they are talking about, but they can read what the techs write down (theyre not bad), Sales guys (would never buy from them, but I definitely service my Ford here). GM is a real cool guy whos not trying to make a dollar, he does want your business."
192,"It's like eating at cafeteria with more choices, but you pay more"
193,Love the store but some of their managment needs to be let go because of poor attitudes towards the customers!
194,Great place to shop and hang with friends at McDonald's.
195,"Delicious food, always packed in season"
196,It's ok not in great shape anymore
197,"The Trans-Alaska Pipeline Viewpoint. I got a look at one of the world's engineering marvels.

You'll find info displays on the pipeline and an example of a pig, a device used to clean and inspect the inside of the pipeline.

It took 70,000 workers and $8 billion of investment capital to build the famous 4 foot silver thread that snakes its way through 800 miles of Alaskan wilderness to reach the nation's thirsty refineries, crossing mountain ranges, earthquake zones, permafrost, and rivers. Around 675 km of the pipeline is elevated (with 554 animal crossings), and outside Fairbanks is the place to see it. Every hour, more than a million dollars of black gold flows through it."
198,Hands down the best bar in the Valley! Great live music on the weekends and karaoke on some weeknights. I always enjoy dancing out here and the drinks are cheap.
199,Okay
200,Love the campground!
201,Italiano
202,We got a great car here!
203,Can't being able to get a drink at a movie theater.
204,good place to go to get your lightbulbs switched quickly
205,Food was great and bingo was a blast
206,"Real people, salt of the earth."
207,"Great service great coffee friendly staff this place stays busy but they're on top of it . Comfort breakfast's , healthy breakfast , you name it😎👍!"
208,A hidden gem!
209,The live music was really good. Went on a Monday night and it was very slow. Good service though.
210,Staff was not the most engaged but helpful at check out selection was good.
211,They use to be a good place for car service .  Now laziness got to it
212,"Best Restaurant in Fairbanks in and out.
Our favorite place!"
213,professional and helpful in getting  My waxings in my threading done.
214,It was clean
215,"Always fresh, always delicious. Service is always fast and the restaurant is always  clean. Great place"
216,Spam app on Facebook
217,"Nice spot for breakfast, seems to by a favorite of the locals"
218,Nice
219,Nice zoo
220,"Global pandemic, does not allow take out. Glad you have no social consciousness."
221,Excellent burgers.
222,The people that work there are really nice. All I have to do is walk up there and they know me and they know what kind of coffee I already like. 😊😊
223,Nice view!
224,Good pizza...fun environment...
225,Best pizza in town.
226,Good
227,Never again. Overpriced.
228,Really friendly staff and great carne asada! We will be back 😊
229,"Chain clothing store. Nothing bad about it, the staff is usually pretty good and it's pretty clean."
230,Have had great knowledgeable service every time we come in. They saved my but when I needed a new car battery and installed for me in-20’s F. We go back to get batteries for my Streamlite flash light.
231,Excellent place! I love sandwiches and am completely addicted to this place! Great job+
232,Friendly and helpful staff. What more do you need?
233,Ice cream machine is always broken.
234,Great haircut at a great price
235,Expensive.
236,"I've been here a couple times. I always have to wait at least 25 to see someone. Understaffed but good customer service. I recommend the verizon store on the north end of anchorage, faster service."
237,Have to see it to believe it
238,good foood
239,I have a friend who uses some of their CBD products for pain relief. I was impressed at how friendly and knowledgeable they are. They have in store discounts on buds which change weekly.
240,I love Taco King. The food is great and authentic and the staff is amazing.
241,Super quick and I love that they always have the tire buckets out :)
242,Friendly atmosphere.
243,Nice food and good service
244,The staff and service I get there is always on point and respectful.
245,Very helpful and friendly pharmacy and general staff.
246,Nice park. Bike trail runs right through it. I would avoid at night.
247,"Cute place for coffee or a snack, over priced limited menu, don't go if you need a meal."
248,The fire...
249,To friendly just. Wanted to shop but they kept bugging me
250,Great food! Fast service!
251,What more can you say but beautiful views.
252,Food was cold when we got it and tasted mediocre.
253,O'Malley on the Green was awesome for lunch! Food was great and we dined on the patio!
254,"the only drawback to the moose's tooth is the number of customers that you encounter on every given night... but that goes to show how good this place really is. it is almost a must for visiting outsiders. and how the staff manages to stay friendly and cheerful with the crowds that they deal with is beyond me but much appreciated. it's just nice to have a local place that puts out world class pizza and beer, and you can be proud to take people to."
255,Smallest best buy in the world.
256,Owner is awesome and lanes are legit. They have leagues and a good bar with decent food. Would recommend for a good time bowling.
257,"I went to the store on Christmas Eve because my phone screen had broken. I understand that they wanted to get out of there etc however the lady that helped me was very obviously in too much of a rush. No, I didn't go right when they were going to close or even within an hour before. All she had to do was turn a new phone on for me. She actually said ""can you just do the Google part yourself when you leave? I don't feel like messing with it"". Well, to make sure that my contacts etc went thru and that everything worked right, you kind of have to do it when you buy the phone if you use Google/gmail, which I do. I know she was probably tired from christmas shopping etc but at the same time, I could have gone elsewhere to buy a phone. I could have gone and just gotten one of those ones from Wal-Mart. I chose to go thru this company, I waited at least 30 mins, I was also in a hurry and had tons of things to do yet the difference is, I wasn't rushing her or making her feel as tho she were bothering me. Bad move in a small store, in Wasilla, Alaska. Just so not cool! Good company, good prices on many things but this time I had very lame customer service."
258,Pipers has been my favorite pub and sports lounge for 30 years!!!
259,"Great place to rent a vehicle for an Alaskan adventure.  Place was supper busy as you would expect this time of year, yet Andre managed to make us feel as if we were the priority customer. This place is better than renting from the airport as it is more accessible, free parking, they wil pick you up if needed. Even received a follow up email ensuring everything was satisfactory a day after I picked up the vehicle.  Thank you team, you made the trip with the grandkids enjoyable.  We'll be back I'm sure."
260,basic walmart
261,Customer service was good
262,"A great ride on the train, up the mountain and back. The new turn-around at the top in Canada is nice. Great views and history along the way"
263,"I want to love this place cause it looks like a classic burger joint, but the burgers are bland. It is hard to like something with no flavor. I ate a cheeseburger and a Buffalo Jalapeño Burger both where bland so if you like a brand Burger give this place a try."
264,Best Pozole hands down
265,Love the remodeling they have done very nice
266,"This place is okay.  It's got some mileage on it and it shows in a lot of places.  Most of the machines are quarter munchers with little entertainment for grownups or teenagers.  For little kids?  It's a blast.  My kids love it as long as I have enough money for tokens.  The upstairs seems to have better games but there are still plenty of old ones that will take your token without giving a play.

They also don't serve alcohol here anymore.  Patrons can sometimes be a little sketchy.  Parking lot often doesn't feel safe.  Visits during peak hours should be the best times to visit."
267,"Always a super fun time.  While folks who are used to big city aquariums might find it small, it has enough educational value to be worth the price of admission."
268,Great place to eat in Seward! They were very timely and the food came out piping hot. Demonte was especially helpful and courteous. This place also has great tartar sauce!
269,Took my grandkids sledding and was great to see the joy in thier eyes.  Lots of fun. Will do it again soon.
270,"So nice, fun and professional.  Zip lining was awseome."
271,Beautiful forest area!
272,"Burger was good, buns should be warm not cold. Heystack onions we're also cold, rosemary coating overpowered flavor. Milkshake was divine."
273,"Great place to get a haircut, very friendly staff!"
274,What's on your list? You'll find it all
275,Very good toasted sandwich. I like that they are open. If only businesses were allowed to let me sit down and eat while my sandwich is still warm. It's very  cold and windy outside. Thanks for helping Nancy out with sliced bread.
276,"Great service, fantastic food."
277,"Good food, decent prices. It was uncomfortably chilly in the restaurant which dampened  the experience. But overall, worth pulling off the highway for."
278,Place is awesome an has awesome food... even helped suprise my wife for her birthday... if u havent yet... u have to go and eat there !
279,I bought a door to ship out of town and asked if they would wrap it up. Dan did a great job and didn't charge. I'll be doing more shopping at Lowe's than at Home Depot from now on.
280,Great store! Lots of books. Responsibly  price books.
281,"Excellent food as always, good service."
282,"Ok to pretty good, yet not really anything to write home about. Somewhat expensive, too (but not much more than average for eating out in Wasilla)... On the plus side, had a nice, friendly, and quick waitress ~ whose name I didn't happen to catch), :-)"
283,"That's been corrected; the park location has been moved across the street to the public parking area, and the names have been consolidated."
284,"Professional, thorough, Kind and helpful when I needed value estimates for insurance purposes."
285,I love Alaska Airlines and their service. My husband and I were treated very well on our trip to see our son and daughter-in-law. I'm more than highly satisfied with my service. I'm so satisfied that I cannot help but smile when I see the building
286,Too many empty stores and what is there is too spread out.
287,Best service in town. Food is pretty good too.
288,Very helpful people.
289,"Food, people and location just fantastic.  Thank you so much"
290,"If you're visiting Anchorage, put Wild Scoops on your ""must-try"" list. Wonderful and creative Alaskan inspired small-batch artisan ice cream. If you're a local, chances are you already know this and love it like the rest of us!!"
291,Always try to go here for do it yourself car wash
292,Awesome
293,"Food is a hit or miss, Service is a hit or miss as well. Always have some kind of issue when we eat there. The deserts suck."
294,It's back on campus and accessable to the public.
295,"We loved it! First time and I'm not real ""techy"" but managed to have fun, and get a small grasp of all the possibilities. My husband and took turns and watching helped to grasp concepts and take a little break. Fun and challenging. Thank you for great customer service and effective communication. Hope you will be opening up in North Pole soon😀"
296,"Extremely overpriced for what you get!! $18 an hour plus you have to have their special socks, which you have to pay for! Very few places in the lower 48 have those prices and rules. The business is also not interested in helping local schools and churches. There are other, more fun and cheaper activities to do in Anchorage."
297,Nenana is the place to stop for refreshments and to eat! Alaskan history!
298,"Absolutely amazing.  I went on the 7 hour tour from Seward.  We saw puffins, SIX humpback whales, porpoises, bald eagles, sea otters, sea lions, seels, and other random things.  I have also been on cruises with this company out of Whittier and it was a ton of fun both times.  The food is great and you get way more than your money's worth.  Limited bar, but still good.  Cruise is super steady, very beginner friendly.  Bring a wind breaker for when you're outside.  Lots of fun, great for a family!"
299,5 stars enough said
300,"Pretty good restaurant, friendly, helpful & knowledgeable staff, & everything is reasonably priced too."
301,Unimpressive crowd. Pretty good service
302,Only
303,Definitely a place to visit when in fairbanks.
304,Pretty big yet well maintained mobile home parks!
305,Always find the groceries i need.
306,"Really enjoy the quality of clothes here and decent prices but the atmosphere is part of the fun with the giant fish tank, mural ceiling, taxidermy animals, and wooden decor. Always find something interesting like salt water taffy and good jackets."
307,"Efficient, well run, convenient"
308,Hot
309,Its not great
310,They girls at the counter are always friendly and the mechanics are quick and efficient!
311,"Great service, good pizzas. Excellent location. Star missed because the quality of the cheese is plastic'ish."
312,"Great selection, very clean, beautiful views. Fair prices for ketchikan. Deli food is pretty good."
313,"Great food, friendly staff and reasonable prices."
314,Best pizza in my life!
315,Food has gotten better and faster at North Pole.
316,"The food its rally good, I loved the chicharrones."
317,Good food
318,Nice upscale restaurant in downtown Anchorage. Great wine menu.
319,"This place is crammed full of diverse gifts, candy, and fresh teas. Also offers a variety of cards."
320,Amazing donuts
321,Great selection of local beers and good food!
322,"Fun! Not too crowded, decent pricing and staff really friendly."
323,"The only downside to having such an amazing coffee place is that it gets crowded often. It doesn't take much away, though, seeing the staff are very good at making sure everyone gets what they ordered."
324,Finally an outlet strip mall with a Bass pro and local restaurants to support.
325,Had a great time!
326,Sad that they are closed End of January 2018 A difficult economy in Alaska
327,Quick Service and the BEST Mexican food out there
328,Tons of animals from Alaska. Very informative and beautiful park. I enjoyed the option of either walking or driving around.
329,Went 3 times this year my 3 year old loves it!
330,Awesome mom & pop style pizza at a reasonable price.
331,Amazing drink selection and food quality. The staff is the best I've ever seen at a coffee shop
332,Dope
333,It's a grocery store with fresh food to go.    Prices are norm. for Alaskans but higher for people coming here from lower 48.
334,Awesome place
335,"Clean, plenty of shopping opportunities, food court at the top of the elevator has free WiFi..."
336,Fast good ppl and costumer service
337,Covid-19 testing upon arrival. No way to town except to pay for a ferry ride.
338,Make sure you pick up the binder by the handicapped entrance to learn more about the plants! I was also very pleasantly surprised by the birds :D
339,It's always fabulous food
340,really delicious. a little pricey.
341,"Awesome and creative coffee, great people, phenomenal food."
342,Amazing bread and huge free samples!
343,They have most of the current movies. It is clean and comfortable.
344,Best sandwich shop I've ever been to!
345,Such a cool place!!! Love it ❤❤❤
346,"Right when you step through the front doors your immediately hit with a wave of chlorine! Not all of the rides were working, some of the stairs to the bigger slides are a little steep and the rusted railings make it seem a little more dangerous than it should. If you can get past all that this place is actually pretty fun!"
347,great gifts and nice employees
348,Good area for kids
349,Awesome place to relax and soak your body.
350,A fine coffee shop
351,Worse now that it's merged with ae. In the same room/store. Much less selection which is hard to believe really.
352,"Quick, efficient service..."
353,"Good Mexican atmosphere and decor, great service and meal display, I'm not sure who's cooking so nothing again the chefs, but the flavor is not like authentic or I could say the tastes is not as good as Mexican food in El Paso."
354,"As far as had stations go, it's clean & the service is good etc. Stop light access can be handy."
355,"I think the busses are never on time, plus they're to slow. Other than that, they're fine."
356,Great service
357,Beautiful place
358,Had an excellent experience! Great assistance and quality Service. Received valuable information regarding my purchase.
359,Food is not that good and to expensive.
360,"Decent spot. Love the history. And lots of good seafood options. Weird how they have a bar menu and a table menu that have different items, you have to combine the two to figure out exactly what you can order."
361,"Atmosphere is nice and the wait staff are friendly,  but unfortunately that is where it all ends.
Food is bland and greasy as to the steak I had, potatoes were cold and flavorless and oddly paired vegetables.
For the price I expected a lot better, guess they are catering to the tourists and not locals.
Their bread pudding was hard as a crouton.....should not be that way EVER"
362,They have the best ponytails and other hair products
363,Always busy.
364,It had a lot of really cool cars you don't usually see. And the vintage clothes were wonderful!!!
365,"1st. Time here great service from time walked in, and excellent food. I'll be back again everyone taking a doggy bag out including myself a mid night snack."
366,"Amazing Bowls filled with fresh, quality goodies. The Manager David is so great!"
367,"Love this place, always has a little something unique to buy as a quick gift. Staff has always been friendly."
368,"The Channel Club does not disappoint- excellent service, great food!"
369,"Nothing needs to be said here. Everyone knows Costco. More so since the closing of sans club. Lines seem to go by okay, try going on an off day."
370,It was great. Wish had one in Anchorage. Waitress was excellent. We will be back.
