,0
72,"Slow, boring ride is the least of my dissatisfaction with this trip.
I especially was upset with the bait and switch of my son's ability to drive. I asked specifically on the phone if 16 with a permit can ride and was assured it would not be a problem. Our tour guide went out of her way to ask again after giving us a safety brief and came back with a no. This was the main reason we decided to do this trip.
The equipment we drove was well maintained and comfortable. The route is on public land on service roads most 2 wheel drive trucks would not have a problem driving. We went about 10 maybe 15 miles an hour.
The views are marginally better than roadside of Healy, Beth and a couple other mountains. We heard the same explanation of burlesque dancers being the source of the names of the mountains multiple times. The worst part of the trip was when Rachel from  South Carolina (?!!!???) gave us a moving 15 minute update of the poor, poor status of the local community needlessly hunting down and slaughtering predators in their dens for 10s of thousands of dollars; implying the all that profit flows to the greedy evil guides, ignoring the large majority of that income flows to the State and federal park service for maintaining the scenic views we were enjoying.

Then to a dry river bed where we had an elementary explanation of rocks that should have excited us for the 30 minute stop at this rock bed.
Wes was very professional and didn't rant about topics he knew nothing about.
As a local to Alaska that lives here year around I remember when the villages were asking for permissions to kill the predators because the wolf population was out of control and were killing sled dogs and livestock. We don't need out of state activists trying to tie our hands at protecting our property.
Save your money for this waste of your time. The same company operates the zip line and other tours that are worth the expense."
73,Great folks here and great deals!
74,"This is a picture from the gas station. Not a picture of the gas station. I do like the only gas station in town. They sell regular gas, diesel and propane. They have air pressure for tires most of the time."
75,Always stop
76,Great service and selection. Worth checking out
77,Fresh and amazing
78,"I came here with the impression it was going to a top notch restaurant. Looked nice, the server  was amazing but the food was not. Our table ordered a burger ( we were disappointed ) steak with mashed potatoes ( overly salty and I love salt) seafood pasta ( taste burnt) the only thing that is worth eating was a salad and tuna poking. I would not recommend Simon and Seaford's if your looking to be satisfied."
79,"Favorite grocery store in Wasilla Palmer area, clean, good produce, and freebies each week if you get their app :)"
80,Great
81,It's all about the money...
82,"This is one of the BEST ice cream places ever!!!! There combinations are SO UNIQUE!!!!
I got breakfast Tiffany(I could eat 5 gallons of this one!) and the honey bear! This was simply delightful and for a REALLY great price.!"
83,"Burgers, fries, you name it 😎👍!"
84,Always has what i need well stocked
85,Always a great stop when traveling the Seward highway.
86,I love their cod and their scallops.
87,Excellent
88,Can never go wrong with taco king. Good place to get a quick bite at a reasonable price.
89,"Ordered the breakfast with eggs and bacon/sausage. It was good, even though the bacon was too crisp for my preference.
Coffee was good too!"
90,Expensive but a cool place to take the kids...quite difficult with a toddler since big kids can get rowdy
91,Love this place medium rare is truly medium rare
92,Small is what it means. No wait usually and you better have a tide book. Once the tide is fully out your difficulty getting your boat out of the water is slim. A place to walk around and pole fishing. 5.00 to park for the day and believe me they do check and it goes to a 40.00 dollar fine. Best to pay the 5.00. Lots of parking and restroom available if needed
93,Largely state offices with 0 security to keep drunks out.
94,"Quality and consistanty of their signature items, ie. salmon dip, and pizza, was top notch for awhile but has dropped over the years. What was once a perfectly cooked pizza is now often burned unevenly on the crust or salmon dip is way to cold. But when you are serving a mass amount of people this becomes difficult. I'm afraid this once great restraunt is unable to keep up with it's own popularity. The staff is still very friendly, and do their best to serve you. Although this once was one of my favorite places, we now pass on it, to head somewhere else local."
95,"Always clean, happily greeted by employees and the food is always fresh and delicious."
96,Going to be crazy in the next 48 hours.  They were busy today...glad I won't have to go tomorrow or early Thursday!
97,"My wife and I camped here over Labor Day weekend in a 26ft travel trailer. It took some creative skills to get my trailer parked safely as some of the pads are short, and many of the back up angles are terrible, but it's a great escape, just outside of town. It feels like you're in the shire surrounded by beautiful greens and nature everywhere. The lake is stocked with rainbow trout and the grayling are eager to chow down on anything you cast into the lake."
98,Enjoyed this small zoo with my two year old. Great option for some local animals - including musk ox and moose.
99,Best burger I've had in years
100,Monica was a fabulous and informative dental hygienist. I really appreciated how welcomed she made me felt as well as giving me detailed explanations to all my questions.
101,One of my favorite state fairs!
102,Great place to bring your pet.
103,Good menu. Good food
104,Look at the nutritional info at this place. Full of salt and fat.
105,The guys at University Chevron always take good care of me and my car.  They're great at what they do!
106,Has great history
107,"I love coming here,  its a beautiful  place to relax and unwind."
108,Cash only     great service and awesome breakfast
109,Great place to run and bike in winter and a even better place to cross country ski in the winter
110,"These guys are fast, friendly, and professional! I went in to pick up an order for our office and I was in and out in a matter of seconds not only that but they got the order 100% right! I highly suggest them for any gathering be it church function, meetings, or for parties. Keep up they great work!"
111,"Good food.  Enjoyed group dinner w extended family. Tends to be more expensive and they usually take mandatory tip for group dinners.  Very entertaining tho, worth it."
112,"This place is great. Got there late but in line before 10pm so they took my order, great start. I talk fast and there was a mistake made in what I said, Josh fixed it, no questions asked. I see why this place is so busy, good food and great service!"
113,Quick and delicious grab and go for when you're not into cooking
114,"Kimchi French Onion Soup? With waffle crouton?? Wow! Five stars alone for the original idea, plus excellent execution. The banh mi sandwich also extremely tasty and original. Sure, it's an unusually interesting, artsy space, and the staff might be inexperienced in some ways but they are sincere and genuine. You will enjoy your visit!"
115,"Friendly employees with quick service, food is always on point and as expected. They also offer a military discount."
116,"Very nice, attractive, and clean store. Lighting is very good; aisles are easy to navigate.  Have great selection of goods. Parking is adequate to the store size.  Service is friendly and while I don't use it there is self scan. I prefer the personal touch so go through lanes with service reps/cashier"
117,"The best! Quick and efficient, thank you so much!"
118,Met famous friend.
119,Good personal service
120,Family oriented
121,People work their are friendly and kind
122,It is a very good professional and dependable.
123,Great customer service
124,Slow but delicious food. Better to order take out.
125,"Wonderful atmosphere, coffee and people."
126,"Wide variety of Asian groceries, fresh produce, deli, bakery & last but definitely not last, Kaladi Brothers Coffee!

Family owned & operated, you'll have a difficult time finding a more friendly or helpful staff."
127,Best place to shop in town to make your dollar stretch.
128,He was so friendly and does great work
129,"Things are over priced, but the selection is good."
130,"This was pretty fun, sadly I can't swim too well."
131,Very informative you are able to view many aquatic birds and animals you don't normally get close to.
132,Not a mall more like a closet
133,They messed up my order . Had to drive all the way back but they fixed it and apologized.
134,I was unaware of the fact that I was forced to leave.... The rude waitress asked me 3 times in 5 min if I was ready to order while I was still looking at the menu.... After we placed the order she gave herself a 15% tip on the credit card... I myself work for for tips I would have never tipped her that amount because of her rude attitude.. never coneing here again... Tips are earned not a given
135,Wonderful food and well worth the drive.
136,It Awesome.
137,Great little shop.  They have it all.  Pretty good sporting goods selection as well.
138,Great food and reasonable prices
139,Definitely a favorite when I'm in Big Lake!  Food and atmosphere is the best.
140,Cool place with all the information you need to educate yourself if you're a tourist.
141,"Good was good, service was so so at best. Only roof top bar in town with a view of mtns"
142,Great guide!
143,A great place for well behaved dogs.
144,Love the keep up on the area
145,"My daughter and I were able to do a walk-in, quick and kind service."
146,"Good food, but dont expect anything under 10 dollars"
147,GCI was really good really good service a very helpful sad to see them close down the other place which was most convenient for me
148,Moderate pricing with a great selection of vape juices
149,good place to shop
150,"Your typical Olive Garden. Friendly service, the food was good. Great date night location."
151,"I'm from fairbanks the Dennys the is not that great I was hesitant to go but glad I did thank u 2 the wonderful staff and amazing food much love, the photo attached is of the view from. Our seat"
152,"Our stay was very enjoyable! We enjoyed our hike on the, Winner Creek Trail and relaxed in the pool sauna and hot tub!"
153,"Great food selections and alcohol.
Needs expansion.
Very packed,10 bar 2 2 seater 5 4 seater and 1 6 seater tables. We sat at 6 seater and it was made of almost cardboard. Couldnt place your forearms onto table.
Bathrooms are always busy and packed. Seeing opposite sex using both of bathrooms and creating even longer lines.

Again food and service is amazing !"
154,"Good food,  good people"
155,"Ok... so how does this work?  This place transferred hands a ways back and was purchased (to my understanding) by some our friends from south of the boarder. I was hesitant to return fearing an influence that is just too common here in Anchorage and I’m my humble opinion the same things just prepared differently and then renamed.  But to my wonderful surprise these guys are pulling of some great American style food. I’ve eaten many items from the menu and have been pleased or even ecstatic about what I received. Now I’m not comparing this with Club Paris or Crows Nest, but if you are looking for some great home style cooking you have to give this little place a shot. It is just another example of the hidden gems we have here in Anchorage tucked away in strip malls. ( Think Jens or Campabellas). Keep up the good work."
156,Excellent steaks great atmosphere
157,Service & Food was great
158,Delicious!
159,Great deals
160,Been out go to for Alaskan beer variety pack which has been on sale the past few weeks :)  cashiers have been extremely friendly the whole time
161,"(Translated by Google) Great stay and breakfast! The service is welcoming, the rooms are comfortable, and there are saloons and restaurants that allow visitors to interact with each other.

(Original)
非常棒的住宿與早餐！服務親切、房間舒適，且有交誼廳與餐廳可以讓旅客互相交流。"
162,Fast and friendly! So tasty too
163,Nice customer service fast fueling
164,Food is SOOOO good!! Very big portions.
165,"Open air shelters with huge stone fireplace. Lots of cookout fire pits. Beautiful Alaska beach for long walks, and gorgeous mountain views."
166,"Decent location, good prices, friendly staff- they even gave my dog a cookie once!"
167,"Spacious, modern room interior. Helpful and friendly staff. Breakfast was included which was great!"
168,Every order in the last few months has had somthing wrong with it . Waiting over 40 min for wrong food orders is not ok I have spoken to management and they dont seem to care
169,Very fun and different than anything else I've done. Guy operating it is very happy with the place and himself. Kinda comical.
170,"Local bar with a great atmosphere, bartender was friendly and funny, love the dollar bills pinned up all over the walls, would defenitley reccomend this place."
171,Went to our corporations Christmas dinner here and had a wonderful time. I do think we needed a bigger space but that was poor planning on the corporations part. It seemed like a nice enough place for a smaller group than what we had.
172,Because I keep it nice and clean to the fullest!!
173,Amazing..
174,"(Translated by Google) Tango handle

(Original)
Mango tango"
175,Good food
176,"I have eaten here twice and both times the food was very enjoyable. It could become my favorite place to eat in Anchorage, AK."
177,Awesome
178,"Had a great time and the food was good. The server was definitely working that evening with a smile and was very personable. The food coming out seemed a little slow but not so much as to complain about it, there was nobody standing around and I used the time to visit with my family.  I definitely will eat there again while enjoying a beer."
179,Delicious!
180,Wonderful place to see the wildlife of Alaska I love the bear feedings and the walk just fun and perfect for your little ones
181,"I have eaten at this restaurant several times,  the staff is very friendly and helpful.  The halibut tonight was excellent.  This place is always busy."
182,Paula is the best!
183,Too many punks
184,"Piece of history, nice place"
185,I like to stop in and pet everyone once in awhile. Make sure to use the hand sanitizer ;) Staff is always happy and the animals well cared for <3 <3 <3
186,"we've had some good experiences here, pizza is always good, tried the avalanche for the first time it was very tasty."
187,Nice camp grounds.
188,Some decent food in a decent hotel. Great break fast.
189,"My first time here during the mandates by the mayor banning indoor dining. The food was reasonably good.  However we were ordered ground beef in our salad and received shredded which included an upcharge.  We also were not informed that using a credit card would result in a credit card fee. Although not unreasonable at 3% (standard rate charged by credit card companies to the business) this is the only place we had encountered the charge and there were no signs or information regarding this charge provided before or during our meal.  We only knew about it at the end of our meal when we saw it listed on the receipt.  While we want to help out local businesses trying to stay alive through all this, correct orders and full cost disclosures are important as well."
190,Great advice for cleaning my cream colored leather jacket! Thanks guys for the help!
191,"Smallish, but really well done and great for kids."
192,Very clean
193,"Love this park! Great place to go for a hike; if you dont want to drive out of Anchorage! Beautiful views! If your a traveler  out of town, I highly suggest checking this park out! It's not far from the airport. About a 10 minute drive depending on traffic."
194,"My locksmith was timely, professional and even set the locks to match the keys again.

I called after hours because a young kiddo had locked everyone out of the house and was inside, unsupervised. It was a huge relief when I called and Northstars associate recognized the urgency. He had us back in the house in just minutes."
195,great little hole in the wall and lots of space to relax and unwind a little.
196,Good place for a burger & brew in the summer
197,A must do while in Fairbanks. Great tour!
198,Big portions
199,"Decent food, great Sunday brunch,  but make reservations if you have more than a couple people for brunch, it can get busy."
200,Great service. Corporate pizza.
201,"Fun atmosphere, delicious food, great service... horrible Japanese accents...puns flow freely. Their staff are experienced (shoutout to Matt 👑) and know what you need before you do. Highly recommend"
202,"Everything is good but every time I go there, I order one of the soup, all delicious!"
203,Great range
204,Great place
205,"(Translated by Google) Seafood is expensive and tastes good.

(Original)
海鲜很贵，味道还不错。"
206,"Inter-Tribal PowWow: great event come this Sunday morning for Entry @ 11a., grand Entry 12 noon, Eagle release 2p. ... something like that but don't miss the occasion, and lots of Dancing for the Whole Family, no excuse not to involve Yourselves,  and lose that weight.  Inter-Tribal means We All Get Along.
God Bless this occasion, and Your Famlie$ a home...   WELCOME"
207,Fantastic!!!
208,Clean busy mon and tues
209,"This place rocks. Awesome pizza, nachos, tacos and other food. Epic craft beers from Broken Tooth. Movie selection varies, but we've seen some great local movies and documentaries. Wish they had fewer popular movies which have poor ratings. But tickets are cheap, beer is cold, and food is tasty. A great option for a rest or rainy day in Anchorage."
210,The best Philly cheese steak in Anchorage!
211,It's a solid place. Not too pricey and very good quality.
212,They store my liquor
213,This place is totally bizarre. Big but empty. Really bright lights. Weird art. Food was pretty good tho.
214,Good for parts
215,"Usually this place is really good, sometimes it is a little disappointing.  The Deadliest Catch is great, but their hashes, pancakes, everything is good.  Sometimes it just feels like they are having an off day and your crab/salmon cakes dry.  Definitely a bit too expensive for the quality of food you get, and it seems over hyped... make sure to make a reservation."
216,Yummy! Best banana splits ever
217,"Competitive prices, Great selection, knowledgeable staff --- what else do you need..."
218,Warm syrup and I'd have given it 5*
219,Occasionally I will drive from Anchorage just to go here. Always worth it.
220,cajun wings were amazing!
221,Great views and great fun
222,Great place to go for pet supplies and pet advice.
223,"Absolutely, Wonderful Dentist and Staff!  Quality and Professionalism!!  A+++"
224,The burgers are outstanding!
225,"Food was good, staff was great.... probably should have given five stars."
226,"Loved it, went through very fast, the lady helping was very friendly, and explained things well"
227,"Fun place for our kids to burn off some energy. Could use some TLC, but nothing that prevents enjoyment."
228,"When a guy ran out of here furious because he wasn’t seated immediately and he wanted the veal parmigiana - I knew this was the dish I needed to order! It must be good especially considering he slammed and kicked not one; but two doors! It was amazing! Perfectly crumbled and covered with delicious sauce and smooth cheese! The service was lovely and despite a Pizza Hut style exterior, the interior is cosy and warm!"
229,"Usually okay, but didn't have the new Samsung 20 5G Ultra screen protector or the regular Samsung 20 5G either!  Had to go to a  different kiosk."
230,Nice selection!
231,Great little burger place. The owner was very nice.
232,Not a bad place for the price.
233,"Excellent presentation, delicious food, relaxing atmosphere."
234,"Totally Love eating here! Best Deep fried Calmari, tender and hit n crispy coating! Everything on the menu is delicious. Here's pictures from my last trip!"
235,Loved it
236,Love the fair but today I was just waiting for Buddy to pick me up
237,They have wheelchair accessible parking and entrance very knowledgeable and friendly staff definitely will get you higher.
238,NICE place
239,Have been getting my haircut there for years. Great staff !
240,"It has been many years since I've gotten an eye exam. I made an appointment for an eye exam, which they did, but also did a retinal scam...I mean scan. I had to pay extra for it, even though I didn't want it. And because of that you can keep your ""computer glasses"" you were trying to sell me. First and last time for me and Kenai Vision."
241,Drink was perfect and staff was wonderful
242,Did not visit
243,"Love the click list, accurate and they pick out the best produce!"
244,Taco bell nuff said
245,Good food at a decent price.
246,"Clean, comfortable and beautiful place in downtown, near bar's, restaurant's, gift shop's."
247,"If you're visiting Alaska, it's cool. Not so fun if you're FROM alaska"
248,Delicious food and great atmosphere. If you love K-pop the TV shows songs from kpop groups/artists. I love their boba teas the most but my sister loves their teokbokki and snow fluff
249,"Worst experience EVER.  Hardly communicated, waited for a MONTH for my car to get fixed (front struts replaced).  $1500 later  Left with a new bend in the frame.  Noone knows what happened.  *I* must have been in an accident.  No I was not.  No proof.  NEVER EVER go there.  EVER."
250,Great views. Can be a bit overrun with kids on weekends.
251,Breakfast sandwich is off the charts
252,Great place to visit and learn about Alaska and the culture of the people.
253,"Every now and then, I like to go get coffee...glad my bro Mike put me on. 😎"
254,Such good pizza. Cozy little place. HIGHLY recommend
255,OMG delicious!
256,"When I am in the mood for deep fried chicken and mashed potatoes, I will go to KFC or if I have to get a haircut, I go to Academy of Hair Design"
257,Decent fast food slightly over priced but good.
258,Freddie is good
259,"I visited the Anchorage Library, not the park."
260,"Wonderfully prepared food, great price and excellent service. 10/10 will eat here again. Very homey, personal, home town experience. Food selection is simple and delicious. I couldn't have asked for more. 👌"
261,"The best food, awesome staff, affordable"
262,Love theme park great history. Great place for gatherings
263,Nice
264,cheap stuff
265,A great place to get gas and snacks when driving between Anchorage and either Valdez or Canada.
266,Clean friendly play place was pretty nice
267,"As advertised!! I used the mobile app and ordered ahead. The pizza was fresh, made to order and ready when I arrived."
268,This place is one of the best in town
269,This place was raved about.  I have eaten here three times now tried three different dishes and have been disappointed three times.  I will say the service here is much better than anywhere else in North Pole.
270,Great  flight
271,Fantastic savory crepes! A must stop in Homer.
272,Best Buy
273,Good food and drinks.  Dont recommend the grits
274,"My all time favorite coffee and bfast sandwich pit stop after a long flight home. Sunrise jalapeño chedder bagel, sausage, extra egg, and extra cheese bfast bagel. Double toasted. Best 6$ spent everytime✅✅✅✅✅✅"
275,"There for you when you need them, they are extremely caring and kind people. But they also have a good mind set for when decisions get tough."
276,"I love to start off with the house Margarita when I get here, it's so good and makes you feel good lol. The food is really good here and I usually finish everything on my plate. I'm picky when it comes to Mexican food, but they get it right here for the most part. I would go here weekly if you're a Mexican food fan....."
277,Love this place
278,I like their food.
279,"They have all the supplies for your hunting/fishing/camping/hiking and all the like, needs. Prices are a little higher than I'd like on things like clothing, but everything else is pretty average. So glad Fairbanks has sportsmans. There are not a lot of stores like it in the area."
280,Super great every time go!
281,Incredible place to visit.
282,They had all of the supplies that my friend needed for a special order.
283,Great to stop for ice cream and coffee
284,Great runway
285,Loved it
286,"Just a typical exchange. Everything you would expect mostly. I have had trouble finding help at the BX or knowledgeable answers or expertise, more then anywhere else I have been. The barber shop is terrible I think I only had one lady listen to me with the 5 haircuts I got. Each time the back of my head was messed up, high fade, med fade, and low fade mean the same thing, and  I have to repeat myself multiple times because of the language barrier. Don't take your children there, that was hard to watch. On a positive note the shops outside are usually pretty cool."
287,"Best dohnuts in the state ( in my travels, best in the union)

A lot of Costco products broken up and repriced. Very useful.

Decent produce at arm and a leg prices.

Good little hardware section to save you that long drive to Fairbanks to finish a project.

Free coffee, and decent attitudes and customer service. Even compared to other three bear locations such as Healy , this one does things the best!"
288,Great food great drinks awesome place not bad pricing for the great food n service.
289,"Everything you need to find under one roof. The food court is a good place for a cheep good meal for lunch while you shop. They now have a qiosk system in the food to prepay for your order, so convenient."
290,Nice place
291,Great staff. Clean facilities.
292,Good selection
293,"Not really much to see here,always dirty too"
294,Great prices.
295,My steak dinner was awesome my hubby had  sandwich .he liked it also place was clean servers and owner very friendly will be returning
296,"I love the taxes toast and the dip
I don't eat meat but my little sister like the chicken"
297,"Good service,  mediocre food."
298,The price is crazy.
299,Being locked out of your house during a winter in Alaska can be scary on top of being cold. Able's staff were at my home in no time flat. The gentleman who came was very professional. Thank you!!
300,"Drips is a nice little coffee hut about 2 miles south of the knotty shop in North Pole. Overall this is a quant little place to stop for a coffee, smoothie or something to eat.
Personally I think the food is better than the coffee, but none of it is bad. Service is always good, but Ravens Brew coffee is not a good coffee IMO. The food is tasty and on Fridays stop by for their brisket.
Little pricier than most coffee shops, but it's in the middle of no where and last place for a decent cup of coffee for 15 miles to North Pole and 75 miles before Delta Junction. But food is worth the stop either way."
301,"Great service, very efficient and friendly and very knowledgeable.  I would recommend to anyone. They fixed my galaxy watch in 1 day with no issues. Thanks."
302,Excellent
303,I can almost save a lot from here
304,Best sushi in Anchorage!!
305,"always great food and atmosphere. although courteous and helpful, staff was not very perky. I highly recommend the prime rib."
306,Nice  for small.kids
307,Service was outstanding.  Food was great.
308,A lot of things
309,"F F Friendly, all important Alaskan Amber 😜"
310,"(Translated by Google) Nice activity in Fairbanks. It takes 2 hours. Some explanations on the pipeline which crosses Alaska from North to South. You can see a stretch when you arrive. Covered little train ride but no windows so in rainy weather, it is better to equip yourself. A musician plays some country tunes with his guitar and his violin, it s very nice to be patient before everyone climbs up (many buses when we are gone). A pioneer-like bearded man tells us the story of the region's gold diggers and the techniques for recovering gold. Then it's up to us to try the adventure! It s cheerful and everyone leaves with their little bundle of gold sequins. We can then have it weighed. Souvenir shops well stocked. Free coffee, tea, water and delicious cookies !!!

(Original)
Sympathique activité à Fairbanks. Il faut compter 2h. Quelques explications sur le pipeline qui traverse l Alaska du Nord au Sud.   On peut voir un tronçon quand on arrive. Trajet en petit train couvert mais pas de fenêtres donc par temps pluvieux, mieux vaut bien s équiper. Un musicien joue quelques airs de country avec sa guitare et son violon,  c est très agréable pour patienter avant la montée de tout le monde (de nombreux cars quand nous sommes allés). Un barbu genre pionnier nous raconte l histoire des chercheurs d'or de la région  et les techniques pour récupérer l'or. C est ensuite à nous de tenter l aventure! C est gaie et chacun repart avec son petit paquet de paillettes d or. On peut le faire peser ensuite. Boutiques de souvenirs bien fournies. Café, thé, eau et délicieux cookies gratuits!!!"
311,Gravel parking lot. Had issues with spots assigned. Had to get wife involved to talk to owner. Finally got it taken care of. Part of Best Western and I don't think they want anything to do with RV park. Not managed very well.
312,"Ordered a Steak Sandwich $14.95, upgraded to a ceasar salad for an extra charge, bread was non-plus, Salmon Chowder cup $6.95 tasted good, but very little salmon, the cup wasn't an actual 8 ounces, it was a little over 4 ounces, a misrepresentation of size and makes this a poor value.  Service was lacking, we were forgotten, not attended to once the food was served."
313,Disappointed there is no microwave or refrigerator in the room. Just opened so lots of projects going on and a lot of trainees learning.
314,Kids enjoy it.
315,Lots of trails to enjoy yourself. I hiked 1.5 hours in for a total of 3 hours and saw nobody.
316,"Solo. Nicely done. Best full sized cinemaplex in town.... Ok,  the ONLY one in town. Still, well kept and standard pricing (hey, it's Regal) so save up a bit extra for any snacks. I just don't do the popcorn thing.  :)  Price of a show these days is my only complaint. Had a great time."
317,Pretty decent bar with a kitchen. Standard bar fair.  I would recommend the super tots if you have the munchies.
318,"I go here for litter and cat toys. There is a type of pink chenille mouse toy that only of kitties adores, no one else has it."
319,"The staff has always been pleasant. High priced, though."
320,Best coffe in dowtown. Great lunch spot
321,Love Big Ray's
322,Beautifull
323,Crispy hashbrowns and crab cake benedict!
324,Good parking good places to eat around this mall
325,"Great place, AMAZING food."
326,Beautiful
327,Love the new store
328,Nice to place to go with my kids
329,"The food is fabulous!  If they can get it locally grown or raised, they do.  And I love that.  I drive all the way from Anchorage just to eat at Turkey Red!"
