0,Primary Label,Secondary Label,Tertiary Label,Explanation
"I have usually enjoyed my experiences here. One time I had a not so friendly encounter with a not so friendly manager who said their burger machine was broken and we should leave because it would take 2 hours for burgers to come out? Everyone else was getting their food, so we decided to order. We got our burgers right on time, but we felt pretty discriminated against. Every other time I have been there, I have really enjoyed it however, and will definitely go back next time I find myself down in Anchorage",Taste,Customer Service,,
Friendly fast clean and good food.,Quality,,,
Beautiful,Unable to categorize,,,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
"Friendly service, and awesome donuts!! Went great with the coffee thank you!",Taste,Customer Service,,
It's a okay place,Location,,,
Ok food but not good. Clean efficient service.,Quality,,,
"I went there today to see if this place could help me out.  They were quite busy, so I preoccupied myself with browsing the store since this was my first visit.  After 20 minutes and the young man behind the counter still didn't acknowledge me in the store.  I expected more from the store since, I read some great reviews.

I am new to the area and will take my business to other local gun stores.  I would advise everyone to try this store last.",Taste,Local,,
"Its Costco, bulk products, hot dogs and pizza",Price,,,
"Best enchiladas in town, when I want great Mexican food, this is the only place to go",Taste,,None,
They do a great job cleaning your vehicle. It is the best car wash in Alaska.,Taste,Cleanliness,,
"Has most normal mall stuff, parking it cheap.",Unable to categorize,,,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
Excellent service. Ignition was changed out and he was still able to get key for truck made. Awesome will definitely call again if needed.,Quality,Customer Service,,
"A lovely experience, as always! Great place for family’s and couples, and coming alone is just as fun. Staff are friendly and helpful, the building itself is clean and organized. Parking and camp grounds are nearby for RVs, which comes in handy when needed. Many exhibits are interactive which is great for children, and adults :) Over an amazing destination for anyone visiting Seward!",Taste,Customer Service,,
"because NO star is not an option. They take forever, almost never get anything right and have attitudes when you tell them something was messed up. The new crew is a joke and need to be retrained ASAP! I gladly drive to Fairbanks for better service and HOT food. This location is trash.",Restaurant,Customer Service,,
"Great food. Mostly locals go there, it's like ""Cheers"".",Taste,,,
"My passenger wanted coffee, I did not get any. She reported that her coffee was nice and hot, very tasty, and attractively served. We did not have to wait long in line. The server wore a mask. Competitive pricing.",Customer Service,,None,
"Hint'o'mint flavor has a great taste, fun place to chill and excellent service. Make their own cones!",Taste,Customer Service,,
Went there while in the area on the recommendation of a friend. Food is overpriced and service sucked. We came in before a party of 6 who got bread and butter before us. We walked out. Will never return and will tell everyone I know not to go there.,Restaurant,Customer Service,,
"very nice, clean roo. and continental breakfast was very nice, fresh product, good coffee and well maintained buffet",Quality,Cleanliness,,
Friendly staff and they cut wood to your measurements,Customer Service,,,
Great food & great service!!!!,Taste,,,
This place is excellent!  My go to place in Kenai!  🤩,Quality,,None,
"I like it for a full shopping trip for this area, the pizza is the best for the price and bulk is often not much more than what it would be in Kenai/Soldotna.",Location,Price,,
"Staff were friendly, just appeared to lack motivation to be timely or serve consistent food. My wrap had little meat. My spouse could barely finish because there was so much meat in theirs.",Quality,Customer Service,,
"I've just taken my car in to be estimated for repair and everyone there has been very kind and a pleasure to chat with.
Will try to update once repairs are made",Unable to categorize,,None,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
"Nice haircut..friendly, down-to-earth earth staff. They make you feel right at home!
I learned some interesting history facts from talking with my barber while getting my hair cut. I had to pay in cash which I wasn't prepared for but it worked out.",Customer Service,,None,
"Slow, boring ride is the least of my dissatisfaction with this trip.
I especially was upset with the bait and switch of my son's ability to drive. I asked specifically on the phone if 16 with a permit can ride and was assured it would not be a problem. Our tour guide went out of her way to ask again after giving us a safety brief and came back with a no. This was the main reason we decided to do this trip.
The equipment we drove was well maintained and comfortable. The route is on public land on service roads most 2 wheel drive trucks would not have a problem driving. We went about 10 maybe 15 miles an hour.
The views are marginally better than roadside of Healy, Beth and a couple other mountains. We heard the same explanation of burlesque dancers being the source of the names of the mountains multiple times. The worst part of the trip was when Rachel from  South Carolina (?!!!???) gave us a moving 15 minute update of the poor, poor status of the local community needlessly hunting down and slaughtering predators in their dens for 10s of thousands of dollars; implying the all that profit flows to the greedy evil guides, ignoring the large majority of that income flows to the State and federal park service for maintaining the scenic views we were enjoying.

Then to a dry river bed where we had an elementary explanation of rocks that should have excited us for the 30 minute stop at this rock bed.
Wes was very professional and didn't rant about topics he knew nothing about.
As a local to Alaska that lives here year around I remember when the villages were asking for permissions to kill the predators because the wolf population was out of control and were killing sled dogs and livestock. We don't need out of state activists trying to tie our hands at protecting our property.
Save your money for this waste of your time. The same company operates the zip line and other tours that are worth the expense.",Taste,Customer Service,,
Great folks here and great deals!,Taste,,,
"This is a picture from the gas station. Not a picture of the gas station. I do like the only gas station in town. They sell regular gas, diesel and propane. They have air pressure for tires most of the time.",Experience,,None,
Always stop,Unable to categorize,,,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
Great service and selection. Worth checking out,Taste,,,
Fresh and amazing,Unable to categorize,,,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
"I came here with the impression it was going to a top notch restaurant. Looked nice, the server  was amazing but the food was not. Our table ordered a burger ( we were disappointed ) steak with mashed potatoes ( overly salty and I love salt) seafood pasta ( taste burnt) the only thing that is worth eating was a salad and tuna poking. I would not recommend Simon and Seaford's if your looking to be satisfied.",Taste,,None,
"Favorite grocery store in Wasilla Palmer area, clean, good produce, and freebies each week if you get their app :)",Quality,Cleanliness,,
Great,Taste,,,
It's all about the money...,Unable to categorize,,,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
"This is one of the BEST ice cream places ever!!!! There combinations are SO UNIQUE!!!!
I got breakfast Tiffany(I could eat 5 gallons of this one!) and the honey bear! This was simply delightful and for a REALLY great price.!",Taste,Price,,
"Burgers, fries, you name it 😎👍!",Taste,,,
Always has what i need well stocked,Unable to categorize,,,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
Always a great stop when traveling the Seward highway.,Taste,,,
I love their cod and their scallops.,Taste,,,
Excellent,Quality,,,
Can never go wrong with taco king. Good place to get a quick bite at a reasonable price.,Quality,Price,,
"Ordered the breakfast with eggs and bacon/sausage. It was good, even though the bacon was too crisp for my preference.
Coffee was good too!",Quality,Convenience,,
Expensive but a cool place to take the kids...quite difficult with a toddler since big kids can get rowdy,Location,Price,,
Love this place medium rare is truly medium rare,Taste,,,
Small is what it means. No wait usually and you better have a tide book. Once the tide is fully out your difficulty getting your boat out of the water is slim. A place to walk around and pole fishing. 5.00 to park for the day and believe me they do check and it goes to a 40.00 dollar fine. Best to pay the 5.00. Lots of parking and restroom available if needed,Location,Customer Service,,
Largely state offices with 0 security to keep drunks out.,Unable to categorize,,,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
"Quality and consistanty of their signature items, ie. salmon dip, and pizza, was top notch for awhile but has dropped over the years. What was once a perfectly cooked pizza is now often burned unevenly on the crust or salmon dip is way to cold. But when you are serving a mass amount of people this becomes difficult. I'm afraid this once great restraunt is unable to keep up with it's own popularity. The staff is still very friendly, and do their best to serve you. Although this once was one of my favorite places, we now pass on it, to head somewhere else local.",Taste,Customer Service,,
"Always clean, happily greeted by employees and the food is always fresh and delicious.",Taste,Cleanliness,,
Going to be crazy in the next 48 hours.  They were busy today...glad I won't have to go tomorrow or early Thursday!,Unable to categorize,,None,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
"My wife and I camped here over Labor Day weekend in a 26ft travel trailer. It took some creative skills to get my trailer parked safely as some of the pads are short, and many of the back up angles are terrible, but it's a great escape, just outside of town. It feels like you're in the shire surrounded by beautiful greens and nature everywhere. The lake is stocked with rainbow trout and the grayling are eager to chow down on anything you cast into the lake.",Taste,,None,
Enjoyed this small zoo with my two year old. Great option for some local animals - including musk ox and moose.,Taste,Experience,,
Best burger I've had in years,Unable to categorize,,,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
Monica was a fabulous and informative dental hygienist. I really appreciated how welcomed she made me felt as well as giving me detailed explanations to all my questions.,Unable to categorize,,None,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
One of my favorite state fairs!,Unable to categorize,,,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
Great place to bring your pet.,Taste,,,
Good menu. Good food,Quality,,,
Look at the nutritional info at this place. Full of salt and fat.,Location,,None,
The guys at University Chevron always take good care of me and my car.  They're great at what they do!,Taste,,None,
Has great history,Taste,,,
"I love coming here,  its a beautiful  place to relax and unwind.",Taste,,None,
Cash only     great service and awesome breakfast,Taste,,,
Great place to run and bike in winter and a even better place to cross country ski in the winter,Taste,,None,
"These guys are fast, friendly, and professional! I went in to pick up an order for our office and I was in and out in a matter of seconds not only that but they got the order 100% right! I highly suggest them for any gathering be it church function, meetings, or for parties. Keep up they great work!",Taste,Customer Service,,
"Good food.  Enjoyed group dinner w extended family. Tends to be more expensive and they usually take mandatory tip for group dinners.  Very entertaining tho, worth it.",Quality,Price,,
"This place is great. Got there late but in line before 10pm so they took my order, great start. I talk fast and there was a mistake made in what I said, Josh fixed it, no questions asked. I see why this place is so busy, good food and great service!",Taste,Customer Service,,
Quick and delicious grab and go for when you're not into cooking,Taste,,None,
"Kimchi French Onion Soup? With waffle crouton?? Wow! Five stars alone for the original idea, plus excellent execution. The banh mi sandwich also extremely tasty and original. Sure, it's an unusually interesting, artsy space, and the staff might be inexperienced in some ways but they are sincere and genuine. You will enjoy your visit!",Quality,Customer Service,,
"Friendly employees with quick service, food is always on point and as expected. They also offer a military discount.",Restaurant,Customer Service,,
"Very nice, attractive, and clean store. Lighting is very good; aisles are easy to navigate.  Have great selection of goods. Parking is adequate to the store size.  Service is friendly and while I don't use it there is self scan. I prefer the personal touch so go through lanes with service reps/cashier",Taste,Customer Service,,
"The best! Quick and efficient, thank you so much!",Unable to categorize,,,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
Met famous friend.,Unable to categorize,,,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
Good personal service,Quality,,,
Family oriented,Unable to categorize,,,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
People work their are friendly and kind,Customer Service,,,
It is a very good professional and dependable.,Quality,,,
Great customer service,Taste,,,
Slow but delicious food. Better to order take out.,Taste,,,
"Wonderful atmosphere, coffee and people.",Ambiance,,,
"Wide variety of Asian groceries, fresh produce, deli, bakery & last but definitely not last, Kaladi Brothers Coffee!

Family owned & operated, you'll have a difficult time finding a more friendly or helpful staff.",Customer Service,Variety,,
Best place to shop in town to make your dollar stretch.,Location,,None,
He was so friendly and does great work,Taste,,,
"Things are over priced, but the selection is good.",Quality,,,
"This was pretty fun, sadly I can't swim too well.",Experience,,,
Very informative you are able to view many aquatic birds and animals you don't normally get close to.,Unable to categorize,,None,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
Not a mall more like a closet,Unable to categorize,,,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
They messed up my order . Had to drive all the way back but they fixed it and apologized.,Unable to categorize,,None,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
I was unaware of the fact that I was forced to leave.... The rude waitress asked me 3 times in 5 min if I was ready to order while I was still looking at the menu.... After we placed the order she gave herself a 15% tip on the credit card... I myself work for for tips I would have never tipped her that amount because of her rude attitude.. never coneing here again... Tips are earned not a given,Location,Customer Service,,
Wonderful food and well worth the drive.,Restaurant,,,
It Awesome.,Unable to categorize,,,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
Great little shop.  They have it all.  Pretty good sporting goods selection as well.,Taste,Variety,,
Great food and reasonable prices,Taste,,,
Definitely a favorite when I'm in Big Lake!  Food and atmosphere is the best.,Restaurant,Ambiance,,
Cool place with all the information you need to educate yourself if you're a tourist.,Location,,None,
"Good was good, service was so so at best. Only roof top bar in town with a view of mtns",Quality,Customer Service,,
Great guide!,Taste,,,
A great place for well behaved dogs.,Taste,,,
Love the keep up on the area,Taste,,,
"My daughter and I were able to do a walk-in, quick and kind service.",Customer Service,,None,
"Good food, but dont expect anything under 10 dollars",Quality,,,
GCI was really good really good service a very helpful sad to see them close down the other place which was most convenient for me,Quality,Customer Service,,
Moderate pricing with a great selection of vape juices,Taste,,,
good place to shop,Quality,,,
"Your typical Olive Garden. Friendly service, the food was good. Great date night location.",Taste,Customer Service,,
"I'm from fairbanks the Dennys the is not that great I was hesitant to go but glad I did thank u 2 the wonderful staff and amazing food much love, the photo attached is of the view from. Our seat",Taste,Customer Service,,
"Our stay was very enjoyable! We enjoyed our hike on the, Winner Creek Trail and relaxed in the pool sauna and hot tub!",Experience,,None,
"Great food selections and alcohol.
Needs expansion.
Very packed,10 bar 2 2 seater 5 4 seater and 1 6 seater tables. We sat at 6 seater and it was made of almost cardboard. Couldnt place your forearms onto table.
Bathrooms are always busy and packed. Seeing opposite sex using both of bathrooms and creating even longer lines.

Again food and service is amazing !",Taste,Customer Service,,
"Good food,  good people",Quality,,,
"Ok... so how does this work?  This place transferred hands a ways back and was purchased (to my understanding) by some our friends from south of the boarder. I was hesitant to return fearing an influence that is just too common here in Anchorage and I’m my humble opinion the same things just prepared differently and then renamed.  But to my wonderful surprise these guys are pulling of some great American style food. I’ve eaten many items from the menu and have been pleased or even ecstatic about what I received. Now I’m not comparing this with Club Paris or Crows Nest, but if you are looking for some great home style cooking you have to give this little place a shot. It is just another example of the hidden gems we have here in Anchorage tucked away in strip malls. ( Think Jens or Campabellas). Keep up the good work.",Taste,Variety,,
Excellent steaks great atmosphere,Taste,,,
Service & Food was great,Taste,,,
Delicious!,Taste,,,
Great deals,Taste,,,
Been out go to for Alaskan beer variety pack which has been on sale the past few weeks :)  cashiers have been extremely friendly the whole time,Customer Service,Variety,,
"(Translated by Google) Great stay and breakfast! The service is welcoming, the rooms are comfortable, and there are saloons and restaurants that allow visitors to interact with each other.

(Original)
非常棒的住宿與早餐！服務親切、房間舒適，且有交誼廳與餐廳可以讓旅客互相交流。",Taste,Customer Service,,
Fast and friendly! So tasty too,Customer Service,,,
Nice customer service fast fueling,Customer Service,,,
Food is SOOOO good!! Very big portions.,Quality,,,
"Open air shelters with huge stone fireplace. Lots of cookout fire pits. Beautiful Alaska beach for long walks, and gorgeous mountain views.",Location,,None,
"Decent location, good prices, friendly staff- they even gave my dog a cookie once!",Quality,Customer Service,,
"Spacious, modern room interior. Helpful and friendly staff. Breakfast was included which was great!",Taste,Customer Service,,
Every order in the last few months has had somthing wrong with it . Waiting over 40 min for wrong food orders is not ok I have spoken to management and they dont seem to care,Restaurant,Customer Service,,
Very fun and different than anything else I've done. Guy operating it is very happy with the place and himself. Kinda comical.,Location,Experience,,
"Local bar with a great atmosphere, bartender was friendly and funny, love the dollar bills pinned up all over the walls, would defenitley reccomend this place.",Taste,Customer Service,,
Went to our corporations Christmas dinner here and had a wonderful time. I do think we needed a bigger space but that was poor planning on the corporations part. It seemed like a nice enough place for a smaller group than what we had.,Location,Experience,,
Because I keep it nice and clean to the fullest!!,Cleanliness,,,
Amazing..,Unable to categorize,,,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
"(Translated by Google) Tango handle

(Original)
Mango tango",Unable to categorize,,,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
Good food,Quality,,,
"I have eaten here twice and both times the food was very enjoyable. It could become my favorite place to eat in Anchorage, AK.",Restaurant,Experience,,
Awesome,Unable to categorize,,,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
"Had a great time and the food was good. The server was definitely working that evening with a smile and was very personable. The food coming out seemed a little slow but not so much as to complain about it, there was nobody standing around and I used the time to visit with my family.  I definitely will eat there again while enjoying a beer.",Taste,Experience,,
Delicious!,Taste,,,
Wonderful place to see the wildlife of Alaska I love the bear feedings and the walk just fun and perfect for your little ones,Taste,Experience,,
"I have eaten at this restaurant several times,  the staff is very friendly and helpful.  The halibut tonight was excellent.  This place is always busy.",Quality,Customer Service,,
Paula is the best!,Unable to categorize,,,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
Too many punks,Unable to categorize,,,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
"Piece of history, nice place",Location,,,
I like to stop in and pet everyone once in awhile. Make sure to use the hand sanitizer ;) Staff is always happy and the animals well cared for <3 <3 <3,Customer Service,,None,
"we've had some good experiences here, pizza is always good, tried the avalanche for the first time it was very tasty.",Quality,Experience,,
Nice camp grounds.,Unable to categorize,,,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
Some decent food in a decent hotel. Great break fast.,Taste,,,
"My first time here during the mandates by the mayor banning indoor dining. The food was reasonably good.  However we were ordered ground beef in our salad and received shredded which included an upcharge.  We also were not informed that using a credit card would result in a credit card fee. Although not unreasonable at 3% (standard rate charged by credit card companies to the business) this is the only place we had encountered the charge and there were no signs or information regarding this charge provided before or during our meal.  We only knew about it at the end of our meal when we saw it listed on the receipt.  While we want to help out local businesses trying to stay alive through all this, correct orders and full cost disclosures are important as well.",Quality,Price,,
Great advice for cleaning my cream colored leather jacket! Thanks guys for the help!,Taste,Cleanliness,,
"Smallish, but really well done and great for kids.",Taste,,,
Very clean,Cleanliness,,,
"Love this park! Great place to go for a hike; if you dont want to drive out of Anchorage! Beautiful views! If your a traveler  out of town, I highly suggest checking this park out! It's not far from the airport. About a 10 minute drive depending on traffic.",Taste,,None,
"My locksmith was timely, professional and even set the locks to match the keys again.

I called after hours because a young kiddo had locked everyone out of the house and was inside, unsupervised. It was a huge relief when I called and Northstars associate recognized the urgency. He had us back in the house in just minutes.",Experience,,None,
great little hole in the wall and lots of space to relax and unwind a little.,Taste,,None,
Good place for a burger & brew in the summer,Quality,,,
A must do while in Fairbanks. Great tour!,Taste,,,
Big portions,Unable to categorize,,,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
"Decent food, great Sunday brunch,  but make reservations if you have more than a couple people for brunch, it can get busy.",Taste,,None,
Great service. Corporate pizza.,Taste,,,
"Fun atmosphere, delicious food, great service... horrible Japanese accents...puns flow freely. Their staff are experienced (shoutout to Matt 👑) and know what you need before you do. Highly recommend",Taste,Customer Service,,
"Everything is good but every time I go there, I order one of the soup, all delicious!",Taste,Experience,,
Great range,Taste,,,
Great place,Taste,,,
"(Translated by Google) Seafood is expensive and tastes good.

(Original)
海鲜很贵，味道还不错。",Taste,Price,,
"Inter-Tribal PowWow: great event come this Sunday morning for Entry @ 11a., grand Entry 12 noon, Eagle release 2p. ... something like that but don't miss the occasion, and lots of Dancing for the Whole Family, no excuse not to involve Yourselves,  and lose that weight.  Inter-Tribal means We All Get Along.
God Bless this occasion, and Your Famlie$ a home...   WELCOME",Taste,Event,,
Fantastic!!!,Unable to categorize,,,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
Clean busy mon and tues,Cleanliness,,,
"This place rocks. Awesome pizza, nachos, tacos and other food. Epic craft beers from Broken Tooth. Movie selection varies, but we've seen some great local movies and documentaries. Wish they had fewer popular movies which have poor ratings. But tickets are cheap, beer is cold, and food is tasty. A great option for a rest or rainy day in Anchorage.",Taste,Variety,,
The best Philly cheese steak in Anchorage!,Unable to categorize,,,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
It's a solid place. Not too pricey and very good quality.,Quality,Price,,
They store my liquor,Unable to categorize,,,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
This place is totally bizarre. Big but empty. Really bright lights. Weird art. Food was pretty good tho.,Quality,,None,
Good for parts,Quality,,,
"Usually this place is really good, sometimes it is a little disappointing.  The Deadliest Catch is great, but their hashes, pancakes, everything is good.  Sometimes it just feels like they are having an off day and your crab/salmon cakes dry.  Definitely a bit too expensive for the quality of food you get, and it seems over hyped... make sure to make a reservation.",Taste,Price,,
Yummy! Best banana splits ever,Unable to categorize,,,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
"Competitive prices, Great selection, knowledgeable staff --- what else do you need...",Taste,Customer Service,,
Warm syrup and I'd have given it 5*,Unable to categorize,,,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
Occasionally I will drive from Anchorage just to go here. Always worth it.,Unable to categorize,,None,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
cajun wings were amazing!,Unable to categorize,,,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
Great views and great fun,Taste,,,
Great place to go for pet supplies and pet advice.,Taste,,,
"Absolutely, Wonderful Dentist and Staff!  Quality and Professionalism!!  A+++",Quality,,,
The burgers are outstanding!,Taste,,,
"Food was good, staff was great.... probably should have given five stars.",Taste,Customer Service,,
"Loved it, went through very fast, the lady helping was very friendly, and explained things well",Taste,Customer Service,,
"Fun place for our kids to burn off some energy. Could use some TLC, but nothing that prevents enjoyment.",Location,Experience,,
"When a guy ran out of here furious because he wasn’t seated immediately and he wanted the veal parmigiana - I knew this was the dish I needed to order! It must be good especially considering he slammed and kicked not one; but two doors! It was amazing! Perfectly crumbled and covered with delicious sauce and smooth cheese! The service was lovely and despite a Pizza Hut style exterior, the interior is cosy and warm!",Taste,Customer Service,,
"Usually okay, but didn't have the new Samsung 20 5G Ultra screen protector or the regular Samsung 20 5G either!  Had to go to a  different kiosk.",Experience,,None,
Nice selection!,Variety,,,
Great little burger place. The owner was very nice.,Taste,,,
Not a bad place for the price.,Location,,,
"Excellent presentation, delicious food, relaxing atmosphere.",Taste,,,
"Totally Love eating here! Best Deep fried Calmari, tender and hit n crispy coating! Everything on the menu is delicious. Here's pictures from my last trip!",Taste,Variety,,
Loved it,Taste,,,
Love the fair but today I was just waiting for Buddy to pick me up,Taste,Customer Service,,
They have wheelchair accessible parking and entrance very knowledgeable and friendly staff definitely will get you higher.,Customer Service,Convenience,,
NICE place,Location,,,
Have been getting my haircut there for years. Great staff !,Taste,Customer Service,,
"It has been many years since I've gotten an eye exam. I made an appointment for an eye exam, which they did, but also did a retinal scam...I mean scan. I had to pay extra for it, even though I didn't want it. And because of that you can keep your ""computer glasses"" you were trying to sell me. First and last time for me and Kenai Vision.",Experience,,None,
Drink was perfect and staff was wonderful,Customer Service,,,
Did not visit,Unable to categorize,,,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
"Love the click list, accurate and they pick out the best produce!",Taste,,None,
Taco bell nuff said,Unable to categorize,,,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
Good food at a decent price.,Quality,,,
"Clean, comfortable and beautiful place in downtown, near bar's, restaurant's, gift shop's.",Restaurant,Cleanliness,,
"If you're visiting Alaska, it's cool. Not so fun if you're FROM alaska",Experience,,None,
Delicious food and great atmosphere. If you love K-pop the TV shows songs from kpop groups/artists. I love their boba teas the most but my sister loves their teokbokki and snow fluff,Taste,Ambiance,,
"Worst experience EVER.  Hardly communicated, waited for a MONTH for my car to get fixed (front struts replaced).  $1500 later  Left with a new bend in the frame.  Noone knows what happened.  *I* must have been in an accident.  No I was not.  No proof.  NEVER EVER go there.  EVER.",Location,Customer Service,,
Great views. Can be a bit overrun with kids on weekends.,Taste,,None,
Breakfast sandwich is off the charts,Convenience,,,
Great place to visit and learn about Alaska and the culture of the people.,Taste,,None,
"Every now and then, I like to go get coffee...glad my bro Mike put me on. 😎",Unable to categorize,,None,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
Such good pizza. Cozy little place. HIGHLY recommend,Quality,,,
OMG delicious!,Taste,,,
"When I am in the mood for deep fried chicken and mashed potatoes, I will go to KFC or if I have to get a haircut, I go to Academy of Hair Design",Unable to categorize,,None,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
Decent fast food slightly over priced but good.,Quality,,,
Freddie is good,Quality,,,
"I visited the Anchorage Library, not the park.",Unable to categorize,,,Unable to assign primary label: Review content is too vague or doesn't fit into any known category.
